ra,dec,designation,umag,gmag,rmag,imag,zmag,j_m_2mass,h_m_2mass,k_m_2mass,w1mpro,w2mpro,w3mpro,w4mpro,zsp,broad,src
204.3085291,10.5904693,J133714.04+103525.7,20.667,19.377,18.413,17.819,17.545,16.38,15.738,14.773,13.485,12.521,9.553,7.029,0.1599999964237213,3923.2,w2m
211.0479339,2.8002548,J140411.50+024800.7,21.37,19.609,18.315,17.782,17.479,16.627,16.084,14.937,14.292,13.404,10.549,7.716,0.21299999952316284,2053.2,w2m
211.7428362,16.1951986,J140658.28+161142.6,21.823,21.517,20.768,20.023,19.83,17.14,15.78,14.759,12.842,11.492,8.702,6.333,0.9200000166893005,3573.3,w2m
215.9817654,10.5033689,J142355.62+103012.1,21.914,20.38,19.068,18.418,17.992,16.539,15.712,14.92,13.808,12.739,9.608,7.257,0.24500000476837158,1106.9,w2m
217.6131141,15.4208086,J143027.14+152514.8,20.987,19.905,18.822,18.273,17.901,16.832,15.705,14.9,12.626,11.248,8.397,5.796,0.6600000262260437,3207.2,w2m
218.5190767,9.5912547,J143404.58+093528.5,22.99,23.001,20.97,19.598,18.744,17.003,16.341,14.905,13.2,11.881,8.778,6.344,0.7699999809265137,3501.8,w2m
220.1802722,4.6552139,J144043.26+043918.7,19.486,19.497,18.922,18.255,17.794,16.444,15.66,14.972,14.231,13.221,9.838,7.419,1.9989999532699585,3395.7,w2m
225.4706072,2.1013648,J150152.94+020604.9,21.259,20.006,18.913,18.438,18.104,16.951,16.294,14.982,13.687,12.232,9.183,6.602,1.190000057220459,6543.0,w2m
227.4516675,8.8565177,J150948.39+085123.4,21.369,19.845,18.638,18.007,17.621,16.562,15.965,14.846,13.781,12.797,9.818,7.372,0.2199999988079071,5578.8,w2m
228.8400123,1.4973354,J151521.58+012949.8,24.101,21.654,20.229,20.001,19.051,17.398,16.234,14.915,14.322,13.412,10.181,8.124,2.4200000762939453,5813.3,w2m
233.1603858,9.593455,J153238.49+093536.4,21.05,19.608,18.448,17.979,17.598,16.489,15.511,14.77,13.331,12.376,9.993,8.252,1.1799999475479126,7448.1,w2m
238.4014679,10.0713705,J155336.34+100416.9,24.303,21.121,19.878,19.089,18.562,16.855,15.617,14.959,13.226,12.072,9.21,6.863,0.550000011920929,3078.1,w2m
239.5674152,9.3185103,J155816.17+091906.7,22.15,20.309,18.939,18.526,17.785,16.461,15.851,14.77,13.463,12.356,9.482,6.945,0.3199999928474426,2600.6,w2m
