angDist,TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,Ng,Nr,Ni,Nz,Ny,gPSFf,gmag,e_gmag,gmagStd,o_gmag,b_gmag,B_gmag,gKmag,e_gKmag,gFlags,rPSFf,rmag,e_rmag,rmagStd,o_rmag,b_rmag,B_rmag,rKmag,e_rKmag,rFlags,iPSFf,imag,e_imag,imagStd,o_imag,b_imag,B_imag,iKmag,e_iKmag,iFlags,zPSFf,zmag,e_zmag,zmagStd,o_zmag,b_zmag,B_zmag,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag,B_ymag,yKmag,e_yKmag,yFlags
1.875354,39627174545720728,163.38922106950164,-26.15659046933841,0.0001,STAR,,,,36.17115477705086,True,76611633887702738,163.38872141813,-26.15632545621,0.0020000000949949026,0.0020000000949949026,90.0,751,42,503635968,60,0.00204577075,0.00202014412,56104.727771469,5,69,10,16,12,15,16,0.9994140267372131,21.568700790405273,0.04899999871850014,0.1941000074148178,10,21.435300827026367,21.953100204467773,21.677799224853516,0.10859999805688858,115000,0.999459981918335,20.37980079650879,0.03620000183582306,0.12039999663829803,15,20.162900924682617,20.588699340820312,20.37299919128418,0.03869999945163727,115000,0.9997010231018066,18.696500778198242,0.004999999888241291,0.028200000524520874,11,18.625999450683594,18.729400634765625,18.758399963378906,0.015699999406933784,115000,0.9997479915618896,17.90019989013672,0.011800000444054604,0.030799999833106995,15,17.854999542236328,17.971799850463867,17.983999252319336,0.013500000350177288,115000,0.9997760057449341,17.481000900268555,0.012299999594688416,0.05939999967813492,16,17.365100860595703,17.59510040283203,17.523399353027344,0.02160000056028366,115000
0.523187,39627190807036760,158.7665799171294,-25.540710644597652,-0.002,STAR,,,,38.9079352209491,True,77351587665721571,158.76657293748,-25.54056545139,0.0020000000949949026,0.0020000000949949026,90.0,750,63,444915712,53,0.00220511457,0.00220511457,56100.69304289,5,66,11,14,15,15,11,0.9995269775390625,20.46980094909668,0.04769999906420708,0.15850000083446503,9,20.188600540161133,20.67140007019043,20.165599822998047,0.041099999099969864,16892216,0.999521017074585,19.41699981689453,0.01510000042617321,0.06340000033378601,10,19.343399047851562,19.55229949951172,18.970500946044922,0.028999999165534973,16892216,0.9996330142021179,18.962200164794922,0.017999999225139618,0.07169999927282333,13,18.897300720214844,19.104900360107422,18.513399124145508,0.01679999940097332,16892216,0.9998319745063782,18.662200927734375,0.01979999989271164,0.07530000060796738,13,18.53499984741211,18.791400909423828,18.239999771118164,0.02070000022649765,16892216,0.9992989897727966,18.472900390625,0.040300000458955765,0.0997999981045723,10,18.308700561523438,18.60700035095215,18.146400451660156,0.0617000013589859,16892216
0.010255,39627218212621778,156.718199033702,-24.25506803345087,1.3744,QSO,0.3382251452439857,0.002106780133747452,1.9136614104658717e-05,45.98568149420919,True,78891567182314236,156.71819676372,-24.25506999069,0.0020000000949949026,0.0020000000949949026,90.0,750,98,503636112,60,0.00240298826,0.00238704015,56100.912857011,10,57,10,10,18,8,11,0.9992650151252747,20.39150047302246,0.03020000085234642,0.06480000168085098,6,20.303499221801758,20.468299865722656,20.58489990234375,0.048500001430511475,115000,0.9996190071105957,19.1072998046875,0.009800000116229057,0.03610000014305115,8,19.081899642944336,19.18790054321289,19.2549991607666,0.021400000900030136,115000,0.9997149705886841,18.626100540161133,0.008899999782443047,0.051500000059604645,15,18.586000442504883,18.733699798583984,18.6919002532959,0.018300000578165054,115000,0.9984959959983826,18.38640022277832,0.01759999990463257,0.05389999970793724,6,18.292299270629883,18.444799423217773,18.423500061035156,0.02500000037252903,115000,0.9989429712295532,18.167299270629883,0.019200000911951065,0.07169999927282333,9,18.043699264526367,18.231300354003906,18.260299682617188,0.0544000007212162,115000
0.549975,39627631695497925,224.84803859230536,-6.61619639374092,-0.0002,STAR,,,,36.88478076538126,True,100062248479311079,224.84790583078,-6.61611927498,0.0020000000949949026,0.0020000000949949026,0.0,1199,39,503635968,60,0.00164309801,0.00167438435,56183.795496424,5,82,13,24,20,14,11,0.9994829893112183,21.03219985961914,0.022199999541044235,0.09759999811649323,13,20.944599151611328,21.256000518798828,20.933799743652344,0.06689999997615814,115000,0.9996740221977234,19.8799991607666,0.01119999960064888,0.060499999672174454,21,19.823299407958984,20.101499557495117,19.879899978637695,0.019600000232458115,115000,0.9994289875030518,18.559900283813477,0.009399999864399433,0.04179999977350235,17,18.471900939941406,18.606700897216797,18.568300247192383,0.011900000274181366,115000,0.9990820288658142,17.895299911499023,0.007799999788403511,0.029999999329447746,13,17.82509994506836,17.932300567626953,17.90719985961914,0.009200000204145908,115000,0.9995750188827515,17.609699249267578,0.010999999940395355,0.029400000348687172,11,17.56399917602539,17.656700134277344,17.678800582885742,0.02280000038444996,115000
0.042103,39627631720662980,226.31944966235906,-6.495959965280082,2.2780500000000004,QSO,0.20745456216664238,0.006304232777495782,2.9796049614758073e-05,45.64995409838615,True,100202263194705239,226.31945044099,-6.49597163481,0.01600000075995922,0.01600000075995922,90.0,1199,35,436527232,52,0.01602288124,0.01602288124,56154.469035432,5,30,0,9,9,10,2,,,,,0,,,,,114720,0.9992280006408691,21.70829963684082,0.0544000007212162,0.12729999423027039,6,21.5585994720459,21.878700256347656,21.690799713134766,0.11720000207424164,115000,0.9993109703063965,20.999399185180664,0.03280000016093254,0.125900000333786,8,20.79680061340332,21.18440055847168,20.827699661254883,0.09880000352859497,115000,0.99897301197052,20.66320037841797,0.05950000137090683,0.17319999635219574,8,20.406299591064453,20.940799713134766,20.731399536132812,0.17900000512599945,115000,0.9987999796867371,20.218000411987305,0.020400000736117363,0.030799999833106995,2,20.189899444580078,20.23080062866211,20.22330093383789,0.06530000269412994,115000
0.011587,39627643733151482,226.05626236757757,-5.941920843367451,2.1998,QSO,0.38156697976983134,0.016517303323513796,1.8650139318629806e-05,45.85196405787953,True,100872260563160282,226.05626023491,-5.94191842264,0.017999999225139618,0.017999999225139618,90.0,1199,56,436527104,52,0.01843779589,0.01843779589,56267.58396298,4,21,0,2,7,12,0,,,,,0,,,,,16416,0.9988369941711426,22.03660011291504,0.033399999141693115,0.08860000222921371,2,21.978700637817383,22.103599548339844,21.957199096679688,0.12639999389648438,115000,0.9993939995765686,21.547399520874023,0.08030000329017639,0.22630000114440918,7,21.26180076599121,21.77519989013672,21.593299865722656,0.07079999893903732,115000,0.9995750188827515,20.861099243164062,0.07769999653100967,0.19939999282360077,10,20.50860023498535,21.012500762939453,21.066200256347656,0.09969999641180038,115000,,,,,0,,,,,114720
0.046221,39627655737252932,224.67265331335844,-5.525415457940019,2.036,QSO,0.22291723041359424,0.01064171938738373,4.229905936837132e-05,45.7133877080782,True,101362246724379754,224.67264158081,-5.52542079373,0.024000000208616257,0.024000000208616257,90.0,1199,69,436527104,52,0.0243311544,0.0243311544,56502.475768098,5,11,1,1,6,2,1,0.9194989800453186,21.9468994140625,0.18019999563694,,1,21.9468994140625,21.9468994140625,21.133399963378906,0.17409999668598175,16892208,0.9979209899902344,22.158300399780273,0.18549999594688416,,1,22.158300399780273,22.158300399780273,22.026199340820312,0.2992999851703644,115000,0.9990559816360474,21.552499771118164,0.08290000259876251,0.14959999918937683,6,21.264400482177734,21.69099998474121,21.654699325561523,0.06030000001192093,115000,0.9983710050582886,21.03569984436035,0.24420000612735748,0.4092000126838684,2,20.63629913330078,21.12470054626465,20.815900802612305,0.2800999879837036,115000,0.9993759989738464,20.746999740600586,0.1679999977350235,,1,20.746999740600586,20.746999740600586,20.823999404907227,0.2583000063896179,115000
0.517529,39627734053293765,219.65949182914903,-2.285162677815979,0.2625,GALAXY,,,,43.18699986614435,True,105252196596078401,219.65958446689,-2.28505268584,0.0010000000474974513,0.0010000000474974513,90.0,1287,45,512024576,61,0.00127803755,0.00127803755,56039.446236933,5,74,14,15,24,10,11,0.9997159838676453,19.933900833129883,0.025800000876188278,0.09189999848604202,11,19.741100311279297,20.054500579833984,19.512399673461914,0.03229999914765358,16892216,0.9993780255317688,18.881399154663086,0.026799999177455902,0.12559999525547028,12,18.578899383544922,19.020700454711914,18.234500885009766,0.030700000002980232,16892216,0.9995629787445068,18.52090072631836,0.03240000084042549,0.12370000034570694,18,18.312700271606445,18.739900588989258,17.815200805664062,0.009100000374019146,16892216,0.9990479946136475,18.118900299072266,0.043699998408555984,0.16200000047683716,9,17.99250030517578,18.511600494384766,17.616600036621094,0.019500000402331352,16892216,0.9995009899139404,18.066200256347656,0.026599999517202377,0.07460000365972519,9,17.942899703979492,18.214000701904297,17.506799697875977,0.024299999698996544,16892216
0.108451,39627740038562598,216.2864620668999,-1.930307954805359,1.2653,GALAXY,,,,44.881174436083576,True,105682162864004083,216.28643361036,-1.93031788867,0.03099999949336052,0.03099999949336052,90.0,1286,54,436527104,52,0.03141799693,0.03141799693,56278.143745034,4,9,0,0,6,3,0,,,,,0,,,,,16416,,,,,0,,,,,114720,0.999405026435852,21.708599090576172,0.11129999905824661,0.24819999933242798,6,21.34000015258789,22.04599952697754,21.87310028076172,0.3165999948978424,115000,0.9984170198440552,21.037399291992188,0.12380000203847885,0.29100000858306885,3,20.744400024414062,21.324600219726562,21.02120018005371,0.15770000219345093,115000,,,,,0,,,,,114720
0.014877,39627745474384020,180.48360864222906,-1.867077694226429,1.1333,QSO,0.3903533634320633,0.050943264220576705,1.9952621044342354e-05,45.324180639682545,True,105751804835989830,180.48360520357,-1.86707998893,0.004999999888241291,0.004999999888241291,90.0,1277,53,436527232,52,0.00470107194,0.00467714342,56146.365629902,5,74,13,13,22,15,11,0.9993839859962463,21.787099838256836,0.04899999871850014,0.2094999998807907,10,21.329999923706055,22.037099838256836,22.027799606323242,0.1396999955177307,115000,0.999131977558136,20.621400833129883,0.026100000366568565,0.12150000035762787,13,20.537200927734375,20.88409996032715,20.700199127197266,0.03929999843239784,115000,0.9998540282249451,20.034000396728516,0.032999999821186066,0.1607999950647354,19,19.845199584960938,20.379499435424805,20.177200317382812,0.04479999840259552,115000,0.9992280006408691,19.956499099731445,0.041099999099969864,0.13840000331401825,12,19.732099533081055,20.132299423217773,20.04599952697754,0.0284000001847744,115000,0.9985870122909546,19.609100341796875,0.03099999949336052,0.10869999974966049,11,19.467300415039062,19.822099685668945,19.821300506591797,0.06920000165700912,115000
