angDist,angDist2,angDist22,TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,Ng,Nr,Ni,Nz,Ny,gPSFf,gmag,e_gmag,gmagStd,o_gmag,b_gmag,B_gmag,gKmag,e_gKmag,gFlags,rPSFf,rmag,e_rmag,rmagStd,o_rmag,b_rmag,B_rmag,rKmag,e_rKmag,rFlags,iPSFf,imag,e_imag,imagStd,o_imag,b_imag,B_imag,iKmag,e_iKmag,iFlags,zPSFf,zmag,e_zmag,zmagStd,o_zmag,b_zmag,B_zmag,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag,B_ymag,yKmag,e_yKmag,yFlags,JName,ra,dec,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch,mergedClass,JNAME,ra2,dec2,errHalfMaj2,errHalfMin2,errPosAng2,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass
0.730066,0.658725,0.517529,39627734053293765,219.65949182914903,-2.285162677815979,0.2625,GALAXY,,,,43.18699986614435,True,105252196596078401,219.65958446689,-2.28505268584,0.0010000000474974513,0.0010000000474974513,90.0,1287,45,512024576,61,0.00127803755,0.00127803755,56039.446236933,5,74,14,15,24,10,11,0.9997159838676453,19.933900833129883,0.025800000876188278,0.09189999848604202,11,19.741100311279297,20.054500579833984,19.512399673461914,0.03229999914765358,16892216,0.9993780255317688,18.881399154663086,0.026799999177455902,0.12559999525547028,12,18.578899383544922,19.020700454711914,18.234500885009766,0.030700000002980232,16892216,0.9995629787445068,18.52090072631836,0.03240000084042549,0.12370000034570694,18,18.312700271606445,18.739900588989258,17.815200805664062,0.009100000374019146,16892216,0.9990479946136475,18.118900299072266,0.043699998408555984,0.16200000047683716,9,17.99250030517578,18.511600494384766,17.616600036621094,0.019500000402331352,16892216,0.9995009899139404,18.066200256347656,0.026599999517202377,0.07460000365972519,9,17.942899703979492,18.214000701904297,17.506799697875977,0.024299999698996544,16892216,J143838.30-021706.1,219.65962,-2.285032,17.190000534057617,16.617000579833984,15.88700008392334,15.243000030517578,0.017999999225139618,0.017000000923871994,0.01600000075995922,0.01600000075995922,433872887673,1,2010.5731201171875,1,J143838.30-021705.9,219.659595,-2.284988,0.14000000059604645,0.13500000536441803,118.0,14.506999969482422,14.170000076293945,12.593000411987305,9.267000198364258,16.378999710083008,15.581999778747559,14.963000297546387,0.029999999329447746,0.04399999976158142,0.35899999737739563,,0.1459999978542328,0.13500000536441803,0.15700000524520874,2193003101241035463,hh00,0,01nn,AACU,0.3019999861717224
1.04832,0.065365,0.108451,39627740038562598,216.2864620668999,-1.930307954805359,1.2653,GALAXY,,,,44.881174436083576,True,105682162864004083,216.28643361036,-1.93031788867,0.03099999949336052,0.03099999949336052,90.0,1286,54,436527104,52,0.03141799693,0.03141799693,56278.143745034,4,9,0,0,6,3,0,,,,,0,,,,,16416,,,,,0,,,,,114720,0.999405026435852,21.708599090576172,0.11129999905824661,0.24819999933242798,6,21.34000015258789,22.04599952697754,21.87310028076172,0.3165999948978424,115000,0.9984170198440552,21.037399291992188,0.12380000203847885,0.29100000858306885,3,20.744400024414062,21.324600219726562,21.02120018005371,0.15770000219345093,115000,,,,,0,,,,,114720,J142508.75-015549.1,216.28646,-1.930326,,,18.35099983215332,17.347000122070312,,,0.12200000137090683,0.09099999815225601,433872065041,1,2010.5675048828125,1,J142508.68-015549.2,216.286173,-1.930343,0.2370000034570694,0.21799999475479126,86.0,15.678999900817871,14.548999786376953,12.333999633789062,8.670999526977539,,,,0.04800000041723251,0.057999998331069946,0.32600000500679016,,,,,2163001601241011871,0000,0,11nn,AABU,
0.114467,0.073893,0.014877,39627745474384020,180.48360864222906,-1.867077694226429,1.1333,QSO,0.3903533634320633,0.050943264220576705,1.9952621044342354e-05,45.324180639682545,True,105751804835989830,180.48360520357,-1.86707998893,0.004999999888241291,0.004999999888241291,90.0,1277,53,436527232,52,0.00470107194,0.00467714342,56146.365629902,5,74,13,13,22,15,11,0.9993839859962463,21.787099838256836,0.04899999871850014,0.2094999998807907,10,21.329999923706055,22.037099838256836,22.027799606323242,0.1396999955177307,115000,0.999131977558136,20.621400833129883,0.026100000366568565,0.12150000035762787,13,20.537200927734375,20.88409996032715,20.700199127197266,0.03929999843239784,115000,0.9998540282249451,20.034000396728516,0.032999999821186066,0.1607999950647354,19,19.845199584960938,20.379499435424805,20.177200317382812,0.04479999840259552,115000,0.9992280006408691,19.956499099731445,0.041099999099969864,0.13840000331401825,12,19.732099533081055,20.132299423217773,20.04599952697754,0.0284000001847744,115000,0.9985870122909546,19.609100341796875,0.03099999949336052,0.10869999974966049,11,19.467300415039062,19.822099685668945,19.821300506591797,0.06920000165700912,115000,J120156.06-015201.4,180.483623,-1.867063,19.006999969482422,18.766000747680664,18.006000518798828,17.327999114990234,0.08399999886751175,0.12700000405311584,0.11800000071525574,0.10199999809265137,433872167952,1,2008.402099609375,0,J120156.06-015201.3,180.4836,-1.867047,0.20399999618530273,0.19099999964237213,83.0,15.364999771118164,13.901000022888184,10.8149995803833,8.447999954223633,,,,0.04800000041723251,0.04600000008940697,0.10499999672174454,0.29100000858306885,,,,1800001601241013092,0000,0,000n,AAAB,
0.393817,0.120164,0.022045,39627746015445530,212.52589608461196,-1.7915049266648413,3.0966,QSO,0.3611039898712498,0.013682465823618687,4.004939158815942e-05,46.58525762642675,True,105852125259140562,212.52589687163,-1.7915109996,0.00800000037997961,0.00800000037997961,90.0,1285,53,436527232,52,0.00840210326,0.00840210326,55912.117532874,5,38,0,2,16,7,13,,,,,0,,,,,114720,0.9982230067253113,21.880399703979492,0.03669999912381172,0.052000001072883606,2,21.84079933166504,21.914100646972656,21.952899932861328,0.05990000069141388,115000,0.9988999962806702,20.69809913635254,0.04149999842047691,0.15530000627040863,16,20.479299545288086,20.95050048828125,20.83639907836914,0.08330000191926956,115000,0.9995909929275513,19.978900909423828,0.041600000113248825,0.15600000321865082,7,19.846599578857422,20.26689910888672,19.99810028076172,0.054499998688697815,115000,0.999646008014679,19.60110092163086,0.05689999833703041,0.14589999616146088,12,19.254899978637695,19.8169002532959,19.615299224853516,0.09210000187158585,115000,J141006.22-014729.4,212.525921,-1.791527,,,17.058000564575195,16.259000778198242,,,0.04100000113248825,0.03500000014901161,433872074404,1,2010.5673828125,0,J141006.23-014729.2,212.525999,-1.791467,0.164000004529953,0.15600000321865082,78.0,15.211999893188477,14.258000373840332,10.852999687194824,8.619000434875488,,,,0.035999998450279236,0.04800000041723251,0.08699999749660492,0.2460000067949295,,,,2132001601241008226,0000,0,001n,AAAB,
0.511032,0.195974,0.008347,39627746095138241,217.32164148955516,-1.7737364954146702,1.3241,QSO,0.3938529927407084,0.008307490052261503,2.7257805183436463e-05,45.26652640003497,True,105872173217481899,217.3216427278,-1.77373845592,0.004999999888241291,0.004999999888241291,90.0,1286,51,436527232,52,0.0052008927,0.0052008927,56202.612460415,5,53,4,10,19,12,8,0.9993270039558411,21.401100158691406,0.10760000348091125,0.5180000066757202,4,21.35409927368164,22.134899139404297,,,115000,0.9996560215950012,20.653799057006836,0.020600000396370888,0.10029999911785126,10,20.575700759887695,20.86240005493164,20.703899383544922,0.03700000047683716,115000,0.9994850158691406,20.193099975585938,0.01860000006854534,0.10750000178813934,19,20.020999908447266,20.487499237060547,20.297399520874023,0.037700001150369644,115000,0.9996700286865234,19.895599365234375,0.026900000870227814,0.12030000239610672,12,19.672800064086914,20.10219955444336,19.85610008239746,0.03819999843835831,115000,0.999081015586853,19.635400772094727,0.04659999907016754,0.19099999964237213,8,19.330299377441406,19.904199600219727,19.64889907836914,0.12540000677108765,115000,J142917.19-014625.2,217.321659,-1.773685,,,17.44300079345703,16.80699920654297,,,0.05400000140070915,0.05700000002980232,433872057991,1,2010.5675048828125,1,J142917.21-014625.8,217.321738,-1.77384,0.1599999964237213,0.1509999930858612,87.0,15.128999710083008,13.980999946594238,11.392000198364258,8.449000358581543,,,,0.03700000047683716,0.03999999910593033,0.1289999932050705,0.22499999403953552,,,,2178001601241009137,0000,0,101n,AABB,
1.683898,1.710813,1.750699,39627746153861675,220.93672352879798,-1.7729896239050644,0.2047,GALAXY,,,,43.04849477346557,True,105872209362623058,220.93625838226,-1.77284700991,0.0020000000949949026,0.0020000000949949026,0.0,1287,52,512024576,61,0.00158506906,0.00158520284,56148.904114231,5,80,15,14,23,12,16,0.999705970287323,20.102500915527344,0.04820000007748604,0.1437000036239624,12,19.826900482177734,20.29990005493164,19.216899871826172,0.031700000166893005,16892216,0.9992190003395081,19.279499053955078,0.019600000232458115,0.22349999845027924,11,18.7898006439209,19.31100082397461,18.142200469970703,0.007799999788403511,16892216,0.9997239708900452,18.642900466918945,0.02070000022649765,0.05779999867081642,12,18.54800033569336,18.747800827026367,17.670799255371094,0.012600000016391277,16892216,0.9995949864387512,18.243600845336914,0.03290000185370445,0.10930000245571136,10,18.141599655151367,18.46820068359375,17.447200775146484,0.014299999922513962,16892216,0.9996169805526733,18.140399932861328,0.03629999980330467,0.13819999992847443,14,18.043800354003906,18.384700775146484,17.302000045776367,0.03779999911785126,16892216,J144344.70-014622.1,220.936281,-1.772816,17.441999435424805,16.74799919128418,16.027000427246094,15.394000053405762,0.02199999988079071,0.019999999552965164,0.017999999225139618,0.01899999938905239,433871928536,1,2010.5731201171875,1,J144344.70-014622.1,220.936285,-1.772825,0.13899999856948853,0.13099999725818634,104.0,14.491999626159668,14.23799991607666,12.116000175476074,9.331000328063965,16.4689998626709,15.58899974822998,15.229000091552734,0.028999999165534973,0.04699999839067459,0.2409999966621399,,0.11500000208616257,0.09300000220537186,0.16899999976158142,2208001601241012365,0000,0,01nn,AABU,0.40299999713897705
0.250347,0.203281,0.013804,39627751497401912,179.32973373931003,-1.4582813772798109,1.3112,QSO,-0.02155395521484449,0.004490044686165169,2.3475532185119494e-05,45.07751387224435,True,106251793297490521,179.32973736128,-1.45828263968,0.003000000026077032,0.003000000026077032,90.0,1277,66,436527256,52,0.00306942623,0.00301241677,56022.882691323,5,56,7,11,16,14,8,0.999239981174469,20.005300521850586,0.0027000000700354576,0.08030000329017639,4,19.87459945678711,20.01300048828125,20.12980079650879,0.04830000177025795,115000,0.9989789724349976,19.592500686645508,0.010099999606609344,0.05889999866485596,6,19.607999801635742,19.6643009185791,19.477399826049805,0.039500001817941666,115000,0.9996650218963623,19.56279945373535,0.03720000013709068,0.15770000219345093,15,19.390899658203125,19.983800888061523,19.637800216674805,0.03669999912381172,115000,0.9993590116500854,19.6023006439209,0.045899998396635056,0.18129999935626984,10,19.45680046081543,19.94260025024414,19.569599151611328,0.06780000030994415,115000,0.9986479878425598,19.58690071105957,0.0568000003695488,0.21739999949932098,8,19.44339942932129,20.034799575805664,19.532400131225586,0.05249999836087227,115000,J115719.14-012729.6,179.329776,-1.458244,18.979999542236328,18.85099983215332,17.906999588012695,17.288000106811523,0.05000000074505806,0.08500000089406967,0.057999998331069946,0.07999999821186066,433870836333,1,2008.191650390625,1,J115719.14-012729.6,179.329788,-1.458238,0.34299999475479126,0.3100000023841858,70.0,16.009000778198242,14.607999801635742,12.144000053405762,8.586000442504883,,,,0.07500000298023224,0.07199999690055847,0.3490000069141388,0.3779999911785126,,,,1800001601241020351,0000,0,01nn,AABC,
0.728914,0.298537,0.000259,39627751547735514,182.4242982058081,-1.5240501104320456,1.5668333333333333,QSO,0.5837938278932822,0.10508017291073814,1.640690094007254e-05,45.3327022101925,True,106171824242191599,182.42429821208,-1.52405018198,0.008999999612569809,0.008999999612569809,90.0,1278,68,436527232,52,0.0093029605,0.0093029605,55995.339744439,5,43,0,7,15,14,7,,,,,0,,,,,114720,0.9981920123100281,21.757400512695312,0.06509999930858612,0.17499999701976776,5,21.60930061340332,21.98240089416504,21.817699432373047,0.15790000557899475,115000,0.9997580051422119,20.72559928894043,0.039400000125169754,0.1574999988079071,15,20.51180076599121,20.99530029296875,20.724300384521484,0.09430000185966492,115000,0.9994490146636963,20.379600524902344,0.035999998450279236,0.1379999965429306,14,20.171199798583984,20.70599937438965,20.476499557495117,0.08320000022649765,115000,0.9992820024490356,19.91200065612793,0.07639999687671661,0.1889999955892563,7,19.650699615478516,20.135000228881836,19.890600204467773,0.15690000355243683,115000,J120941.81-013126.4,182.424228,-1.524006,19.371999740600586,18.506999969482422,17.68600082397461,17.23900032043457,0.11100000143051147,0.07500000298023224,0.06400000303983688,0.07699999958276749,433871061592,1,2008.402099609375,0,J120941.84-013125.8,182.424367,-1.52386,0.27300000190734863,0.24699999392032623,86.0,15.581000328063965,14.395999908447266,11.331999778747559,8.232999801635742,,,,0.05000000074505806,0.08699999749660492,0.19300000369548798,,,,,1830001601241012746,0000,0,00nn,AABU,
0.728914,0.301269,0.000259,39627751547735514,182.4242982058081,-1.5240501104320456,1.5668333333333333,QSO,0.5837938278932822,0.10508017291073814,1.640690094007254e-05,45.3327022101925,True,106171824242191599,182.42429821208,-1.52405018198,0.008999999612569809,0.008999999612569809,90.0,1278,68,436527232,52,0.0093029605,0.0093029605,55995.339744439,5,43,0,7,15,14,7,,,,,0,,,,,114720,0.9981920123100281,21.757400512695312,0.06509999930858612,0.17499999701976776,5,21.60930061340332,21.98240089416504,21.817699432373047,0.15790000557899475,115000,0.9997580051422119,20.72559928894043,0.039400000125169754,0.1574999988079071,15,20.51180076599121,20.99530029296875,20.724300384521484,0.09430000185966492,115000,0.9994490146636963,20.379600524902344,0.035999998450279236,0.1379999965429306,14,20.171199798583984,20.70599937438965,20.476499557495117,0.08320000022649765,115000,0.9992820024490356,19.91200065612793,0.07639999687671661,0.1889999955892563,7,19.650699615478516,20.135000228881836,19.890600204467773,0.15690000355243683,115000,J120941.81-013126.6,182.424215,-1.52406,19.32699966430664,18.464000701904297,17.844999313354492,17.344999313354492,0.10499999672174454,0.0729999989271164,0.07400000095367432,0.08299999684095383,433871045819,2,2008.402099609375,0,J120941.84-013125.8,182.424367,-1.52386,0.27300000190734863,0.24699999392032623,86.0,15.581000328063965,14.395999908447266,11.331999778747559,8.232999801635742,,,,0.05000000074505806,0.08699999749660492,0.19300000369548798,,,,,1830001601241012746,0000,0,00nn,AABU,
0.22771,0.15051,0.013154,39627752067828959,213.38838906796622,-1.4199210425120636,0.6794,QSO,0.043902415787113735,0.005178780794029923,1.9678258886814096e-05,44.43065875662721,True,106292133884466481,213.38838741935,-1.41992430354,0.0020000000949949026,0.0020000000949949026,90.0,1285,61,436527256,52,0.00202690777,0.00197526034,55961.564511388,5,79,16,11,20,16,16,0.9996749758720398,19.0846004486084,0.03840000182390213,0.12549999356269836,14,18.90399932861328,19.309499740600586,19.176000595092773,0.04830000177025795,115000,0.9989140033721924,18.999500274658203,0.023399999365210533,0.1526000052690506,7,18.92009925842285,19.326799392700195,19.03619956970215,0.01769999973475933,115000,0.999288022518158,19.190399169921875,0.019999999552965164,0.0957999974489212,12,19.174999237060547,19.39080047607422,19.167499542236328,0.026200000196695328,115000,0.9991520047187805,18.883899688720703,0.022199999541044235,0.20170000195503235,15,18.320899963378906,19.209400177001953,18.961999893188477,0.03060000017285347,115000,0.9996190071105957,19.085599899291992,0.030899999663233757,0.15049999952316284,16,18.854799270629883,19.334199905395508,19.044200897216797,0.05209999904036522,115000,J141333.22-012511.6,213.38843,-1.419913,18.650999069213867,18.180999755859375,17.601999282836914,17.145999908447266,0.06800000369548798,0.0820000022649765,0.07500000298023224,0.07500000298023224,433870944666,1,2008.317626953125,0,J141333.22-012511.6,213.388449,-1.4199,0.20900000631809235,0.19499999284744263,86.0,15.645000457763672,14.482000350952148,12.071000099182129,8.880999565124512,,,,0.0430000014603138,0.05400000140070915,0.23600000143051147,0.28299999237060547,,,,2132001601241019338,0000,0,15nn,AABB,
