wave,obj,sky,noise,s2n
3150.0,3.82779,0.0,12.6032,0.29425866
3160.0,3.82779,0.0,12.6032,0.29425867
3170.0,3.82779,25.697,12.6032,0.27343435
3180.0,3.82779,36.6663,12.6032,0.26579862
3190.0,3.82779,32.695,12.6032,0.2684886
3200.0,3.82779,38.711,12.6032,0.26444476
3210.0,3.93474,41.674,12.6032,0.26978615
3220.0,4.04468,58.0292,12.6032,0.26678447
3230.0,3.87183,52.3421,12.6032,0.25883772
3240.0,3.77887,25.3584,12.6032,0.27021683
3250.0,3.77348,18.6498,12.6032,0.27478703
3260.0,3.84097,42.1477,12.6032,0.26310964
3270.0,3.97459,28.7805,12.6032,0.28151918
3280.0,4.12974,51.7557,12.6032,0.27629744
3290.0,4.3378,25.323,12.6032,0.30977104
3300.0,4.56297,49.6826,12.6032,0.30646774
3310.0,4.82031,31.9893,12.6032,0.33789136
3320.0,5.06886,41.8238,12.6032,0.3464983
3330.0,5.28289,29.3166,12.6032,0.37244679
3340.0,5.54425,26.981,12.6032,0.39299823
3350.0,5.77863,48.3528,12.6032,0.38826448
3360.0,6.01473,26.1453,12.6032,0.42677619
3370.0,6.27859,54.2688,12.6032,0.41565476
3380.0,6.46202,48.1167,12.6032,0.43375349
3390.0,6.65675,47.8425,12.6032,0.44691542
3400.0,6.83872,48.3006,12.6032,0.45845199
3410.0,7.03596,31.0235,12.6032,0.49174342
3420.0,7.21136,45.9685,12.6032,0.48568203
3430.0,7.37807,48.7346,12.6032,0.49351103
3440.0,7.50326,43.5132,12.6032,0.50795689
3450.0,7.70261,29.2662,12.6032,0.53987102
3460.0,7.79072,55.1173,12.6032,0.51307431
3470.0,7.97304,39.2815,12.6032,0.54469536
3480.0,8.10286,57.5981,12.6032,0.53031201
3490.0,8.25938,58.3209,12.6032,0.53950621
3500.0,8.38871,31.261,12.6032,0.58400936
3510.0,8.57187,49.932,12.6032,0.57025783
3520.0,8.73196,40.431,12.6032,0.59383841
3530.0,8.90386,40.4638,12.6032,0.60524051
3540.0,9.06853,45.1688,12.6032,0.60934708
3550.0,9.23569,59.774,12.6032,0.60010066
3560.0,9.43427,92.2968,12.6032,0.5731756
3570.0,9.65457,73.2012,12.6032,0.60907767
3580.0,9.85461,51.4251,12.6032,0.65151686
3590.0,10.1052,42.8604,12.6032,0.68111052
3600.0,10.3246,40.9859,12.6032,0.69864945
3610.0,10.5667,52.1075,12.6032,0.69643215
3620.0,10.8869,50.6403,12.6032,0.71942565
3630.0,11.1796,54.1316,12.6032,0.73251542
3640.0,11.4573,73.4709,12.6032,0.71983113
3650.0,11.7157,123.134,12.6032,0.67049692
3660.0,12.0512,73.6652,12.6032,0.75595336
3670.0,12.3967,50.3975,12.6032,0.81695625
3680.0,12.7283,38.2277,12.6032,0.86222891
3690.0,13.091,59.9891,12.6032,0.84337286
3700.0,13.4459,68.1065,12.6032,0.85082579
3710.0,13.8115,74.4889,12.6032,0.8619463
3720.0,14.1943,52.7001,12.6032,0.92701235
3730.0,14.5638,66.0759,12.6032,0.92341201
3740.0,14.9636,68.9512,12.6032,0.94235338
3750.0,15.3688,50.872,12.6032,1.0052854
3760.0,15.7595,61.995,12.6032,1.0054136
3770.0,16.1526,51.3503,12.6032,1.0536667
3780.0,16.5457,73.981,12.6032,1.0281739
3790.0,16.9565,60.5251,12.6032,1.0825135
3800.0,17.3672,73.0728,12.6032,1.0794837
3810.0,17.7709,68.6307,12.6032,1.1136981
3820.0,18.1817,81.123,12.6032,1.1105525
3830.0,18.5877,89.9774,12.6032,1.1154982
3840.0,18.9746,76.3003,12.6032,1.1682346
3850.0,19.3815,70.4107,12.6032,1.2064541
3860.0,19.7579,67.3796,12.6032,1.2365597
3870.0,20.1658,77.5024,12.6032,1.2358667
3880.0,20.5399,47.9381,12.6032,1.3374865
3890.0,20.9011,77.6267,12.6032,1.2788538
3900.0,21.2621,83.6917,12.6032,1.2849884
3910.0,21.6358,221.017,12.6032,1.0593237
3920.0,21.9875,120.505,12.6032,1.2431156
3930.0,22.3277,83.0482,12.6032,1.3484152
3940.0,22.6622,104.373,12.6032,1.31561
3950.0,23.0017,121.827,12.6032,1.2955145
3960.0,23.2969,103.791,12.6032,1.3523899
3970.0,23.625,74.0277,12.6032,1.4482979
3980.0,23.9322,112.308,12.6032,1.367547
3990.0,24.22,111.932,12.6032,1.3842241
4000.0,24.4834,152.483,12.6032,1.3112496
4010.0,24.7476,146.75,12.6032,1.3363803
4020.0,25.0136,128.225,12.6032,1.3898387
4030.0,25.288,164.515,12.6032,1.3291667
4040.0,25.5815,165.486,12.6032,1.3421771
4050.0,25.7946,1180.2,12.6032,0.68451615
4060.0,26.0685,174.611,12.6032,1.349306
4070.0,26.3437,174.423,12.6032,1.3634042
4080.0,26.5555,469.601,12.6032,1.0176926
4090.0,26.7849,210.776,12.6032,1.3201887
4100.0,26.9968,138.528,12.6032,1.4714402
4110.0,27.2134,142.439,12.6032,1.4738881
4120.0,27.4348,124.6,12.6032,1.5275638
4130.0,27.647,153.183,12.6032,1.4724872
4140.0,27.8739,157.88,12.6032,1.4739102
4150.0,28.0491,146.422,12.6032,1.5081696
4160.0,28.2636,154.077,12.6032,1.5020322
4170.0,28.4769,205.863,12.6032,1.409455
4180.0,28.6864,166.639,12.6032,1.4962435
4190.0,28.8743,147.141,12.6032,1.549018
4200.0,29.0842,148.946,12.6032,1.5556119
4210.0,29.3053,173.712,12.6032,1.5121906
4220.0,29.4983,151.508,12.6032,1.570849
4230.0,29.7159,169.287,12.6032,1.5420138
4240.0,29.9428,238.71,12.6032,1.4212232
4250.0,30.1581,338.42,12.6032,1.2884003
4260.0,30.3567,202.394,12.6032,1.5056976
4270.0,30.5892,151.253,12.6032,1.627041
4280.0,30.7921,173.62,12.6032,1.5859754
4290.0,31.0443,170.098,12.6032,1.6062589
4300.0,31.2269,179.056,12.6032,1.5955226
4310.0,31.4863,217.604,12.6032,1.5301195
4320.0,31.7173,208.271,12.6032,1.5589033
4330.0,31.9357,207.884,12.6032,1.5699906
4340.0,32.1497,211.844,12.6032,1.5722917
4350.0,32.3811,336.331,12.6032,1.3833076
4360.0,32.6375,4060.91,12.6032,0.49056841
4370.0,32.8342,299.06,12.6032,1.454492
4380.0,33.0809,312.491,12.6032,1.4453785
4390.0,33.3353,232.167,12.6032,1.588377
4400.0,33.5423,203.666,12.6032,1.6545495
4410.0,33.7712,258.399,12.6032,1.5607378
4420.0,34.0166,278.548,12.6032,1.5376128
4430.0,34.2479,251.125,12.6032,1.5949004
4440.0,34.4674,234.336,12.6032,1.6360346
