wave,obj,sky,noise,s2n
3150.0,3.39585,0.0,12.6032,0.26138771
3160.0,3.39585,0.0,12.6032,0.26138772
3170.0,3.39585,25.697,12.6032,0.24284722
3180.0,3.39585,36.6663,12.6032,0.23605128
3190.0,3.39585,32.695,12.6032,0.23844528
3200.0,3.39585,38.711,12.6032,0.23484645
3210.0,3.49074,41.674,12.6032,0.2395931
3220.0,3.58827,58.0292,12.6032,0.23691528
3230.0,3.43492,52.3421,12.6032,0.22985444
3240.0,3.35246,25.3584,12.6032,0.23998676
3250.0,3.34767,18.6498,12.6032,0.24405517
3260.0,3.40754,42.1477,12.6032,0.23365751
3270.0,3.52608,28.7805,12.6032,0.25003341
3280.0,3.66373,51.7557,12.6032,0.24537551
3290.0,3.84831,25.323,12.6032,0.27515947
3300.0,4.04807,49.6826,12.6032,0.27220158
3310.0,4.27637,31.9893,12.6032,0.30016438
3320.0,4.49688,41.8238,12.6032,0.30781033
3330.0,4.68676,29.3166,12.6032,0.33090971
3340.0,4.91863,26.981,12.6032,0.34920076
3350.0,5.12655,48.3528,12.6032,0.34496001
3360.0,5.33601,26.1453,12.6032,0.37926641
3370.0,5.5701,54.2688,12.6032,0.36932524
3380.0,5.73283,48.1167,12.6032,0.38544152
3390.0,5.90558,47.8425,12.6032,0.39715746
3400.0,6.06702,48.3006,12.6032,0.4074264
3410.0,6.24201,31.0235,12.6032,0.43710245
3420.0,6.39762,45.9685,12.6032,0.43167406
3430.0,6.54551,48.7346,12.6032,0.43863993
3440.0,6.65658,43.5132,12.6032,0.45151485
3450.0,6.83343,29.2662,12.6032,0.47997665
3460.0,6.9116,55.1173,12.6032,0.45604819
3470.0,7.07335,39.2815,12.6032,0.48424855
3480.0,7.18852,57.5981,12.6032,0.47139449
3490.0,7.32737,58.3209,12.6032,0.47958171
3500.0,7.44211,31.261,12.6032,0.51930114
3510.0,7.6046,49.932,12.6032,0.5069951
3520.0,7.74663,40.431,12.6032,0.52803297
3530.0,7.89913,40.4638,12.6032,0.53819463
3540.0,8.04522,45.1688,12.6032,0.54184024
3550.0,8.19351,59.774,12.6032,0.53355915
3560.0,8.36969,92.2968,12.6032,0.50949928
3570.0,8.56513,73.2012,12.6032,0.54152335
3580.0,8.7426,51.4251,12.6032,0.57940815
3590.0,8.96492,42.8604,12.6032,0.60582381
3600.0,9.15952,40.9859,12.6032,0.62147231
3610.0,9.37432,52.1075,12.6032,0.61945159
3620.0,9.65839,50.6403,12.6032,0.63996303
3630.0,9.91811,54.1316,12.6032,0.65162382
3640.0,10.1645,73.4709,12.6032,0.64023962
3650.0,10.3936,123.134,12.6032,0.59612869
3660.0,10.6913,73.6652,12.6032,0.67245153
