TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,FUVmag,NUVmag,gmag,rmag,imag,zmag,ymag,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,W4mag,designation,ra,dec,zsp,spCl,ebv,umag,gmag_1,rmag_1,imag_1,zmag_1,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,broad,src,gmag_2,rmag_2,imag_2,zmag_2
39628526789332186,140.3875631109036,32.22235090675786,0.584718721289053,QSO,0.015389002883993586,0.0,,17.66010093688965,17.23189926147461,17.164899826049805,16.77239990234375,16.98080062866211,16.912500381469727,15.803999900817871,15.878000259399414,15.449999809265137,14.607999801635742,16.316999435424805,15.666999816894531,15.08899974822998,13.11400032043457,12.0600004196167,9.84000015258789,7.741000175476074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633481097021963,169.37058783005494,68.99124327886867,0.8078196951376129,QSO,0.061798936542150074,0.0,,18.66080093383789,18.40410041809082,18.346200942993164,18.46380043029785,18.222000122070312,18.458200454711914,,,,,,,,14.329999923706055,13.097999572753906,10.309000015258789,7.89900016784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633304105782537,169.4027976911636,53.81896380891242,1.3115685759440263,QSO,-0.002229439552104473,0.0033466893954529468,,18.731300354003906,17.893800735473633,17.68440055847168,17.738100051879883,17.78030014038086,17.841299057006836,,,,,17.236000061035156,16.319000244140625,15.9399995803833,14.312999725341797,12.923999786376953,9.894000053405762,7.499000072479248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39632931160850991,225.55439572374135,32.45377714841408,1.2792441662224219,QSO,-0.03683338538967601,0.0,,18.73349952697754,18.457000732421875,18.278200149536133,18.012300491333008,18.19879913330078,18.21109962463379,17.45199966430664,17.238000869750977,16.586000442504883,16.179000854492188,,,,14.654000282287598,13.20300006866455,10.322999954223633,8.196000099182129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633430308193515,221.22529905149625,63.738323106759545,0.9864518006102732,QSO,0.028469881436901878,0.00619917460128077,,18.793500900268555,17.9468994140625,17.82379913330078,17.91119956970215,17.80699920654297,17.75550079345703,,,,,16.570999145507812,15.72599983215332,15.317000389099121,14.034000396728516,12.821999549865723,10.173999786376953,7.841000080108643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633244026570743,168.2730627599529,49.69226568242469,1.0914058909677253,QSO,0.04071412402665997,0.002539864960330598,,18.849300384521484,18.034500122070312,17.772199630737305,17.67569923400879,17.91550064086914,17.784000396728516,,,,,16.96299934387207,15.857999801635742,15.406999588012695,14.39799976348877,13.251999855041504,10.638999938964844,8.079000473022461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633153932922482,235.6476834723035,44.32108738331248,1.5533796898003707,QSO,-0.05850859347457177,0.005176073552658657,,18.854299545288086,18.25469970703125,18.154399871826172,17.973800659179688,18.028600692749023,18.069900512695312,,,,,,,,14.87600040435791,13.442999839782715,10.310999870300293,8.07699966430664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633127718521060,246.7477272570814,42.7917869476691,1.4546073896201273,QSO,-0.009941647022013056,0.10194721322167948,,18.867599487304688,18.20949935913086,18.016599655151367,17.810199737548828,17.787799835205078,17.867900848388672,,,,,,,,14.87600040435791,13.564000129699707,10.182999610900879,7.440000057220459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39633293393528378,183.9162127976864,52.88890378646784,1.3014731653172438,QSO,-0.029777805065170304,0.0,,18.883699417114258,17.78969955444336,17.661100387573242,17.837600708007812,17.840200424194336,17.88159942626953,,,,,,,,14.508999824523926,13.083999633789062,10.201000213623047,7.960000038146973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39632946386175197,224.27400335898983,33.12534921374545,0.9500301828722583,QSO,0.05727885218659323,0.004034779288225424,,18.886199951171875,18.22760009765625,18.115299224853516,18.539600372314453,18.22170066833496,18.083099365234375,17.683000564575195,17.016000747680664,16.73900032043457,16.142000198364258,,,,14.737000465393066,13.529000282287598,10.777000427246094,8.447999954223633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
