designation,ra,dec,zsp,umag,gmag,rmag,imag,zmag,j_m_2mass,h_m_2mass,k_m_2mass,w1mpro,w2mpro,w3mpro,w4mpro,broad,src,FUVmag,NUVmag,PS1_gmag,PS1_rmag,PS1_imag,PS1_zmag,PS1_ymag
J114633.49+105417.2,176.6395429,10.9048107,0.26899999380111694,22.961,20.589,19.425,18.945,18.513,16.74,16.588,14.866,13.301,12.23,9.455,7.115,1313.2,w2m,nan,nan,20.589000701904297,19.424999237060547,18.94499969482422,18.51300048828125,18.742599487304688
J115246.46+063649.5,178.1935734,6.613751,2.4600000381469727,21.065,19.767,18.798,18.47,18.051,16.732,15.952,14.927,14.635,13.879,10.637,8.897,4256.6,w2m,nan,nan,19.767000198364258,18.79800033569336,18.469999313354492,18.051000595092773,17.92650032043457
J120636.82+081544.8,181.6534098,8.2624146,0.8119999766349792,21.753,19.966,18.677,18.161,17.789,16.628,15.944,14.883,13.519,12.451,9.579,7.016,2743.0,w2m,nan,nan,19.965999603271484,18.677000045776367,18.160999298095703,17.788999557495117,18.426300048828125
J121900.42+121545.1,184.7517816,12.262557,0.24199999868869781,21.979,20.124,18.671,18.069,17.706,16.464,15.687,14.812,13.876,12.87,10.317,7.816,5741.2,w2m,nan,nan,20.124000549316406,18.67099952697754,18.069000244140625,17.70599937438965,18.165199279785156
J122232.81+134007.3,185.6367433,13.6687122,0.2590000033378601,21.215,20.032,18.596,18.021,17.417,16.637,15.7,14.949,13.588,12.548,9.758,7.163,9430.0,w2m,nan,nan,20.031999588012695,18.59600067138672,18.020999908447266,17.41699981689453,18.381399154663086
J123157.92+133446.7,187.9913404,13.5796477,0.1809999942779541,21.291,19.619,18.588,18.084,17.695,16.661,15.873,14.852,13.83,12.893,9.855,7.725,4551.0,w2m,nan,22.409400939941406,19.618999481201172,18.58799934387207,18.083999633789062,17.69499969482422,18.277099609375
J124331.89+080034.4,190.8829233,8.0096043,1.9900000095367432,23.028,22.855,21.728,20.475,19.364,16.483,16.121,14.953,14.032,12.985,9.344,7.092,4184.6,w2m,nan,nan,22.854999542236328,21.72800064086914,20.475000381469727,19.36400032043457,18.991600036621094
J131446.70+041215.8,198.6946171,4.2044371,0.49000000953674316,21.477,19.747,18.788,18.256,17.986,16.533,15.99,14.81,13.243,12.175,9.386,6.881,2958.6,w2m,nan,nan,19.746999740600586,18.788000106811523,18.256000518798828,17.986000061035156,17.446399688720703
J133048.24+084039.2,202.7010071,8.6775529,0.75,21.995,20.277,19.314,18.877,18.412,16.83,16.35,14.955,13.707,12.404,9.515,7.24,14267.6,w2m,nan,nan,20.277000427246094,19.31399917602539,18.87700080871582,18.41200065612793,18.55929946899414
J133441.26+063115.3,203.6719665,6.5209129,0.5249999761581421,22.375,20.867,19.534,18.763,18.177,16.902,15.948,14.72,13.47,12.304,9.28,6.732,2218.7,w2m,nan,nan,20.867000579833984,19.534000396728516,18.76300048828125,18.177000045776367,18.75510025024414
J133714.04+103525.7,204.3085291,10.5904693,0.1599999964237213,20.667,19.377,18.413,17.819,17.545,16.38,15.738,14.773,13.485,12.521,9.553,7.029,3923.2,w2m,nan,nan,19.37700080871582,18.413000106811523,17.819000244140625,17.545000076293945,17.854400634765625
