TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,EDR?
39627174453447661,157.36469898356106,-26.237122111937914,0.565,GALAXY,,,,43.89068117735624,true
39627174545720728,163.38922106950164,-26.15659046933841,1.0E-4,STAR,,,,36.17115477705086,true
39627190807036760,158.7665799171294,-25.540710644597652,-0.002,STAR,,,,38.9079352209491,true
39627218212621778,156.718199033702,-24.25506803345087,1.3744,QSO,0.3382251452439857,0.002106780133747452,1.9136614104658717E-5,45.98568149420919,true
39627631695497925,224.84803859230536,-6.61619639374092,-2.0E-4,STAR,,,,36.88478076538126,true
39627631720662980,226.31944966235906,-6.495959965280082,2.2780500000000004,QSO,0.20745456216664238,0.006304232777495782,2.9796049614758073E-5,45.64995409838615,true
39627643733151482,226.05626236757757,-5.941920843367451,2.1998,QSO,0.38156697976983134,0.016517303323513796,1.8650139318629806E-5,45.85196405787953,true
39627655737252932,224.67265331335844,-5.525415457940019,2.036,QSO,0.22291723041359424,0.01064171938738373,4.229905936837132E-5,45.7133877080782,true
39627734053293765,219.65949182914903,-2.285162677815979,0.2625,GALAXY,,,,43.18699986614435,true
39627740038562598,216.2864620668999,-1.930307954805359,1.2653,GALAXY,,,,44.881174436083576,true
39627745474384020,180.48360864222906,-1.867077694226429,1.1333,QSO,0.3903533634320633,0.050943264220576705,1.9952621044342354E-5,45.324180639682545,true
39627746015445530,212.52589608461196,-1.7915049266648413,3.0966,QSO,0.3611039898712498,0.013682465823618687,4.004939158815942E-5,46.58525762642675,true
39627746057393160,215.22581988243817,-1.7893060499270965,2.8112,QSO,-0.3891499337155442,0.0,3.0628082194896064E-4,46.491674843548346,true
39627746095138241,217.32164148955516,-1.7737364954146702,1.3241,QSO,0.3938529927407084,0.008307490052261503,2.7257805183436463E-5,45.26652640003497,true
39627746153861675,220.93672352879798,-1.7729896239050644,0.2047,GALAXY,,,,43.04849477346557,true
39627751497401912,179.32973373931003,-1.4582813772798109,1.3112,QSO,-0.02155395521484449,0.004490044686165169,2.3475532185119494E-5,45.07751387224435,true
39627751547735514,182.4242982058081,-1.5240501104320456,1.5668333333333333,QSO,0.5837938278932822,0.10508017291073814,1.640690094007254E-5,45.3327022101925,true
39627752067828959,213.38838906796622,-1.4199210425120636,0.6794,QSO,0.043902415787113735,0.005178780794029923,1.9678258886814096E-5,44.43065875662721,true
39627752097188333,215.09450872808486,-1.5243473793577227,2.221,QSO,,,,45.7479138602062,true
39627752101384325,215.4465212385773,-1.5964063982770922,0.9025,QSO,0.7299385805383867,0.022078555184914965,2.6626836070232403E-5,44.985612908742674,true
39627752105579342,215.7236170696907,-1.4870002289518647,0.4000000000000001,QSO,0.5769861027220695,0.008693819812774986,1.998507193285088E-5,43.801854693391206,true
39627752122355042,216.61789961862246,-1.405914947879682,1.4303,QSO,0.5100855810593434,0.11707524145173501,3.332642280784974E-5,45.01458693503093,true
39627752134935945,217.31538588837967,-1.558206647752056,1.53905,QSO,0.26664834774043067,0.0,4.611653912712347E-5,45.40251455292716,true
39627752193659886,220.94750477934468,-1.619555890213379,0.8955,GALAXY,,,,44.42053535591086,true
39627752197855766,221.24955720647205,-1.4814791675809613,0.3287,GALAXY,,,,43.80403859389736,true
39627757595924442,182.98367883893718,-1.274230615201379,0.9259,QSO,0.5671002707798458,0.0,1.8786473057017247E-5,44.64193566778499,true
39627757608502273,183.5527898219245,-1.3109731179827193,0.9054,QSO,0.5271587843226533,0.046623522642869376,4.2940860290305253E-5,44.7716988473241,true
