ra,dec,designation,umag,gmag,rmag,imag,zmag,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,zsp,spCl,broad,src,ebv
159.005582,6.840480,J103601.33+065025.7,18.565,17.766,17.214,16.764,16.57,16.087,15.269,14.469,13.596,12.764,9.45,7.212,0.0,0.0,0.00,0.00,0.101,QSO,4119.8,B-gal,-0.045
159.085766,12.293020,J103620.58+121734.8,17.17,17.023,16.698,16.25,16.213,14.988,14.298,13.43,12.233,11.317,8.854,6.984,0.0,0.0,0.00,0.00,0.191,QSO,9979.5,Alp,-0.050
159.235181,10.561786,J103656.44+103342.4,18.083,17.839,17.468,16.956,16.9,16.182,15.244,14.402,13.197,12.327,9.366,6.763,0.0,0.0,0.00,0.00,0.095,QSO,2689.7,Alp,0.114
159.302716,5.450243,J103712.65+052700.8,20.087,18.651,17.625,17.109,16.866,15.903,15.147,14.414,13.734,13.019,10.412,7.885,0.0,0.0,0.00,0.00,0.181,QSO,10509.5,B-gal,0.028
159.565755,15.599080,J103815.78+153556.6,18.538,17.776,17.145,16.697,16.496,15.669,14.996,14.351,13.472,12.925,10.062,7.73,0.0,0.0,0.00,0.00,0.113,QSO,3455.5,Alp-gal,-0.178
159.913894,10.048068,J103939.33+100253.0,18.865,18.359,17.956,17.417,17.419,16.602,15.434,14.326,13.063,11.927,9.36,7.323,0.0,0.0,0.00,0.00,0.162,QSO,4474.1,Alp,0.135
160.115940,3.204507,J104027.82+031216.2,18.573,18.409,18.082,18.0,17.355,16.121,15.189,14.251,12.945,11.966,9.145,6.77,0.0,0.0,0.00,0.00,0.274,QSO,4293.5,Alp,0.093
160.229780,11.201943,J104055.14+111206.9,17.185,17.058,16.709,16.283,16.249,15.431,14.667,13.706,12.261,11.335,8.432,5.894,0.0,0.0,0.00,0.00,0.159,QSO,5580.2,Alp,0.050
160.369111,2.534697,J104128.58+023204.9,19.818,18.959,17.981,17.467,17.156,15.94,15.365,14.656,14.223,13.694,11.237,8.497,0.0,0.0,0.00,0.00,0.182,QSO,5390.9,B-gal,-0.186
160.473339,3.250167,J104153.60+031500.6,18.421,17.361,16.747,16.294,16.079,15.611,15.198,14.635,13.656,13.019,9.879,7.303,0.0,0.0,0.00,0.00,0.093,QSO,2475.9,Alp-gal,-0.124
160.592154,16.687586,J104222.11+164115.3,20.943,20.39,20.266,20.029,18.994,16.928,15.476,14.023,12.825,11.63,7.823,5.221,0.0,0.0,0.00,0.00,2.517,redQSO,8331.4,w2m,0.731
160.607392,12.211075,J104225.77+121239.8,19.258,18.934,17.936,17.457,17.025,16.202,15.351,14.486,13.665,12.901,10.571,8.246,0.0,0.0,0.00,0.00,0.270,QSO,8929.2,Alp-gal,-0.304
160.630517,7.093291,J104231.32+070535.8,20.033,19.174,18.243,17.708,17.505,16.398,15.656,14.699,14.387,13.639,10.945,8.344,0.0,0.0,0.00,0.00,0.214,QSO,5555.9,B-gal,-0.066
160.684333,16.782258,J104244.24+164656.1,16.781,16.6,16.309,16.211,16.027,14.946,14.633,14.084,12.583,11.316,8.669,6.601,0.0,0.0,0.00,0.00,0.975,QSO,3254.5,B,0.061
160.860300,11.090074,J104326.47+110524.2,16.843,16.595,16.522,16.075,16.08,15.789,15.288,14.424,12.597,11.757,8.806,6.23,0.0,0.0,0.00,0.00,0.048,QSO,5157.4,Alp,-0.124
160.899473,11.858080,J104335.87+115129.0,16.313,16.033,15.978,16.003,15.897,15.0,14.821,14.09,12.154,10.873,7.916,5.425,0.0,0.0,0.00,0.00,0.793,QSO,4530.3,B,-0.031
160.985486,7.215598,J104356.51+071256.1,18.621,18.36,17.903,17.516,17.372,16.098,15.423,14.311,13.363,12.513,9.728,7.203,0.0,0.0,0.00,0.00,0.224,QSO,3140.3,Alp-gal,-0.246
160.987701,9.762294,J104357.04+094544.2,17.785,17.804,17.781,17.823,17.246,16.783,15.864,14.617,13.115,12.163,9.447,7.234,0.0,0.0,0.00,0.00,0.342,QSO,4488.2,Alp,-0.097
161.047629,1.980699,J104411.43+015850.5,16.314,16.292,16.151,16.291,16.271,15.367,15.297,14.592,12.726,11.324,8.626,6.244,1.33,1.1,0.00,0.00,1.009,QSO,4081.6,B,-0.072
161.133245,11.018259,J104431.97+110105.7,17.898,17.453,17.039,16.737,16.751,15.892,14.999,14.106,13.041,12.063,8.956,6.437,0.0,0.0,0.00,0.00,0.169,QSO,2913.8,Alp-gal,-0.202
161.216157,3.881168,J104451.87+035252.2,18.098,17.777,17.322,16.902,16.78,15.841,15.123,14.216,13.291,12.482,9.372,7.209,0.0,0.0,0.00,0.00,0.207,QSO,4638.7,Alp-gal,-0.115
161.271497,8.727525,J104505.15+084339.0,17.14,16.764,16.458,15.837,16.076,15.194,14.344,13.218,11.386,10.358,7.149,4.397,10.09,10.39,4.50,5.07,0.125,QSO,4935.6,Alp,0.045
161.648700,1.867968,J104635.68+015204.6,18.466,17.896,17.329,16.898,16.705,15.727,15.074,14.646,13.653,12.957,10.244,7.918,0.0,0.0,0.00,0.00,0.103,QSO,4392.5,Alp-gal,-0.193
161.649455,1.804811,J104635.86+014817.3,18.253,17.779,17.431,17.048,16.934,16.11,15.337,14.564,13.082,12.063,8.84,6.372,0.0,0.0,0.00,0.00,0.118,QSO,2781.3,Alp,0.044
161.877246,10.291362,J104730.53+101728.9,17.118,17.005,16.844,16.38,16.495,15.247,14.454,13.649,12.359,11.418,8.594,6.065,0.0,0.0,0.00,0.00,0.144,QSO,6772.8,B,-0.114
161.923957,15.225624,J104741.74+151332.2,17.787,17.612,17.607,17.666,17.285,16.189,15.553,14.492,13.144,12.124,9.751,7.924,0.0,0.0,0.00,0.00,0.385,QSO,2750.2,Alp,-0.082
161.956149,12.463534,J104749.47+122748.7,19.541,18.26,17.333,16.836,16.575,16.089,15.389,14.422,13.234,12.507,9.836,7.597,0.0,0.0,0.00,0.00,0.175,QSO,4130.5,Alp-gal,0.147
162.260189,13.350993,J104902.44+132103.5,18.674,18.346,17.86,17.28,17.291,15.807,14.959,14.04,13.111,12.28,9.84,7.572,0.0,0.0,0.00,0.00,0.174,QSO,6502.6,Alp,0.195
162.403754,6.489460,J104936.90+062922.0,16.978,16.971,16.772,16.243,16.318,15.287,14.592,13.518,12.235,11.305,8.777,6.433,0.0,0.0,0.00,0.00,0.152,QSO,8264.0,Alp,-0.069
162.532315,11.541317,J105007.75+113228.7,16.012,15.843,15.689,15.351,15.361,14.884,14.108,13.098,11.632,10.592,7.303,4.602,1.35,1.5,0.76,2.17,0.134,QSO,3124.0,Alp,-0.172
162.569132,13.440153,J105016.59+132624.5,19.515,17.882,17.217,16.74,16.507,16.086,15.182,14.529,13.894,13.241,9.161,5.683,12.85,13.14,5.73,6.27,0.113,QSO,1862.4,B-gal,0.034
162.814208,5.806856,J105115.40+054824.6,18.608,17.458,16.759,16.247,16.01,15.28,14.537,13.856,13.08,12.48,9.464,7.04,0.0,0.0,0.00,0.00,0.070,QSO,4655.6,Alp-gal,-0.080
162.842872,2.126869,J105122.28+020736.7,18.04,17.471,17.462,17.25,17.426,16.159,15.404,14.435,12.399,11.166,8.44,6.013,0.0,0.0,0.00,0.00,0.599,QSO,3214.7,B,-0.038
163.137378,10.605529,J105232.97+103619.9,18.798,16.374,15.407,14.777,14.421,14.841,13.933,12.886,11.467,10.439,7.451,4.74,3.1,3.6,1.27,2.37,0.088,QSO,5449.8,Alp-gal,0.120
164.001663,16.940632,J105600.39+165626.2,18.359,17.141,16.473,16.034,15.795,15.577,14.921,14.167,13.109,12.39,9.421,7.351,0.0,0.0,0.00,0.00,0.085,QSO,2181.2,Alp-gal,-0.029
164.032503,13.745448,J105607.80+134443.6,18.106,17.816,17.524,17.531,16.923,16.384,15.479,14.526,13.138,12.036,8.755,5.884,1.89,1.75,0.81,0.83,0.284,QSO,5941.4,Alp,0.034
164.304593,2.495835,J105713.10+022945.0,18.311,17.819,17.366,17.021,16.868,15.966,15.086,14.074,12.882,11.886,8.662,6.013,2.72,2.72,1.35,1.92,0.157,QSO,2958.9,Alp-gal,-0.157
164.330316,15.965647,J105719.27+155756.3,18.642,17.356,16.617,16.133,15.85,15.136,14.479,13.846,12.455,11.587,8.232,5.786,0.0,0.0,0.00,0.00,0.064,QSO,1576.3,B-gal,-0.123
164.938482,14.695267,J105945.23+144142.9,17.294,16.891,16.878,16.674,16.813,15.476,14.919,14.067,12.804,11.628,9.052,6.96,0.0,0.0,0.00,0.00,0.630,QSO,5268.0,B,0.009
164.962721,9.151616,J105951.05+090905.8,17.216,17.222,17.065,16.774,16.772,15.62,15.094,14.411,13.879,12.823,9.768,7.496,0.0,0.0,0.00,0.00,1.688,QSO,3264.6,B,0.026
165.257350,11.047063,J110101.76+110249.4,16.877,15.725,15.019,14.633,14.363,14.05,13.251,12.368,12.116,11.608,9.083,6.677,2.47,2.86,1.45,2.04,0.036,QSO,5286.9,Alp,0.181
165.284828,15.735493,J110108.35+154407.7,18.37,16.789,15.952,15.38,15.071,14.689,13.866,13.134,11.989,11.166,7.885,5.197,4.16,4.32,1.59,2.32,0.089,QSO,11118.6,Alp-gal,0.065
165.379364,2.917816,J110131.04+025504.1,18.77,18.406,17.791,17.56,17.124,16.321,15.55,14.528,13.227,12.217,9.216,6.561,1.16,0.92,0.00,0.00,0.279,QSO,9677.7,Alp-gal,-0.164
165.524703,8.743275,J110205.92+084435.7,16.33,16.371,16.329,16.353,16.044,15.289,14.621,13.72,12.134,11.001,8.331,6.045,0.0,0.0,0.00,0.00,0.294,QSO,2541.3,Alp,-0.045
165.960994,1.327140,J110350.63+011937.7,18.09,17.504,16.862,16.374,16.186,15.364,14.728,13.927,12.627,11.95,9.687,7.945,0.0,0.0,0.00,0.00,0.130,QSO,3991.6,Alp,0.185
166.040155,12.365980,J110409.63+122157.5,17.845,17.362,17.659,17.48,17.638,16.485,15.385,14.503,12.885,11.905,9.619,7.436,20.79,21.73,13.21,13.97,0.591,QSO,6868.3,B,-0.119
166.264994,7.758594,J110503.59+074530.9,18.829,17.744,17.026,16.523,16.353,15.22,14.753,14.091,13.288,12.649,10.014,7.563,0.0,0.0,0.00,0.00,0.073,QSO,4574.9,Alp,0.118
166.271450,11.261442,J110505.14+111541.1,19.625,18.677,18.127,17.722,17.49,15.982,15.266,14.511,13.648,12.628,9.452,7.224,2.14,1.63,5.98,6.16,1.730,QSO,1058.2,B,0.128
166.324968,0.891208,J110517.99+005328.3,18.702,17.557,16.848,16.188,16.131,15.673,15.11,14.48,12.868,12.146,9.638,7.258,0.0,0.0,0.00,0.00,0.098,QSO,10426.5,Alp-gal,-0.013
166.412453,2.049289,J110538.98+020257.4,16.513,16.332,16.028,15.515,15.464,14.499,13.667,12.692,11.77,10.961,8.586,6.305,175.71,212.83,182.57,219.18,0.106,QSO,4361.5,Alp,0.081
166.417055,6.707135,J110540.09+064225.6,17.934,17.947,17.772,17.389,17.491,16.146,15.548,14.601,13.309,12.314,9.393,6.952,0.0,0.0,0.00,0.00,0.230,QSO,5320.5,Alp,-0.005
166.484058,3.211989,J110556.17+031243.1,19.583,18.513,17.626,17.295,16.421,15.609,14.692,13.558,12.21,11.053,8.267,6.023,0.0,0.0,0.00,0.00,0.354,QSO,8331.0,Alp-gal,0.184
166.590225,2.356831,J110621.65+022124.5,21.579,19.609,18.56,17.869,17.652,16.2,15.771,14.614,12.728,11.454,8.571,6.266,0.0,0.0,0.00,0.00,0.570,redQSO,3755.9,w2m,0.318
166.695078,6.840967,J110646.81+065027.4,17.368,17.092,17.25,17.093,16.897,16.142,15.531,14.603,13.096,12.054,9.493,6.959,0.0,0.0,0.00,0.00,0.440,QSO,5577.7,B,-0.086
166.707507,10.294050,J110649.80+101738.5,17.773,17.398,16.858,16.421,16.254,15.554,14.763,14.109,13.273,12.508,9.266,6.896,0.0,0.0,0.00,0.00,0.168,QSO,6466.1,Alp-gal,-0.054
166.812716,16.467308,J110715.05+162802.3,16.996,16.5,16.477,16.439,16.507,15.139,14.518,13.962,13.045,11.877,9.002,6.547,264.74,280.24,241.48,252.40,0.631,QSO,6321.9,B,-0.059
166.818693,13.308209,J110716.48+131829.5,18.546,18.318,17.963,17.528,17.577,16.444,15.429,14.582,13.04,12.03,8.964,6.513,0.0,0.0,0.00,0.00,0.184,QSO,3651.2,Alp,0.034
166.823965,8.077220,J110717.75+080437.9,17.047,16.804,16.432,16.031,16.05,13.895,13.174,13.574,11.869,11.17,8.572,6.335,0.0,0.0,0.00,0.00,0.200,QSO,4709.7,Alp,0.096
166.878321,7.222387,J110730.79+071320.5,20.236,19.557,18.602,18.052,17.833,16.449,15.845,13.749,13.992,13.309,10.552,7.494,0.0,0.0,0.00,0.00,0.195,QSO,3628.3,Alp-gal,0.005
166.938206,2.016506,J110745.16+020059.4,17.717,17.599,17.498,17.527,17.126,16.287,15.249,14.489,13.168,12.096,9.318,7.124,0.0,0.0,0.00,0.00,0.329,QSO,2131.6,Alp,-0.045
167.189540,2.044706,J110845.48+020240.9,18.989,17.608,16.618,16.134,15.819,15.625,14.965,14.103,13.245,12.549,9.761,7.325,90.47,98.4,95.84,103.14,0.158,QSO,7524.1,Alp-gal,0.155
167.540718,13.968288,J111009.77+135805.8,19.558,18.884,18.059,17.48,17.3,16.488,15.662,14.554,13.406,12.408,9.627,7.054,0.0,0.0,0.00,0.00,0.214,QSO,5369.5,Alp-gal,0.111
167.550301,1.224420,J111012.07+011327.9,17.033,16.446,15.934,15.542,15.394,14.729,13.945,13.158,11.797,10.919,7.845,5.587,0.0,0.0,0.00,0.00,0.095,QSO,2156.3,B,-0.017
167.965041,13.543218,J111151.60+133235.5,17.986,17.206,17.037,17.042,16.779,15.942,15.455,14.537,13.966,12.79,9.211,7.025,0.0,0.0,0.00,0.00,2.454,QSO,22613.6,B,-0.012
168.186723,15.577474,J111244.81+153438.9,20.113,19.571,18.735,18.453,17.931,16.587,15.597,14.686,13.482,12.415,9.8,7.518,0.0,0.0,0.00,0.00,0.257,redQSO,8661.8,Alp,0.319
168.218466,14.095641,J111252.43+140544.3,17.39,17.355,17.456,17.535,17.052,16.253,15.693,14.623,13.675,12.626,9.872,7.827,0.0,0.0,0.00,0.00,0.375,QSO,5964.8,B,-0.129
168.305412,10.370096,J111313.29+102212.3,18.217,17.549,17.303,17.234,16.933,16.017,15.477,14.624,14.007,12.939,9.498,7.167,0.0,0.0,0.00,0.00,2.247,QSO,8079.1,B,0.018
168.318596,15.413213,J111316.46+152447.5,18.017,17.778,17.492,17.084,17.115,16.04,15.42,14.505,13.665,12.7,9.711,6.843,0.0,0.0,0.00,0.00,0.213,QSO,4891.9,Alp,0.080
168.344142,16.634058,J111322.59+163802.6,20.603,19.046,17.926,17.52,16.963,15.859,15.103,13.909,12.615,11.611,8.721,6.084,2.55,2.75,1.83,1.68,0.284,redQSO,2503.2,w2m,0.260
168.644479,7.621290,J111434.67+073716.6,20.063,18.758,17.879,17.36,17.161,16.121,15.443,14.677,13.626,12.661,9.661,7.313,0.0,0.0,0.00,0.00,0.124,QSO,2900.8,Alp-gal,0.113
168.781857,2.632655,J111507.64+023757.5,17.591,17.227,17.276,17.13,17.217,16.155,15.397,14.529,13.076,12.063,9.558,7.103,2.04,1.62,11.97,12.47,0.567,QSO,3275.7,B,-0.019
169.163134,4.074337,J111639.15+040427.6,18.403,17.863,17.327,16.818,16.653,16.092,15.046,14.546,13.641,12.977,10.327,7.989,0.0,0.0,0.00,0.00,0.075,QSO,3283.7,Alp-gal,-0.271
169.300261,14.638205,J111712.06+143817.5,18.207,17.37,16.678,16.237,15.963,15.344,14.706,14.111,13.139,12.408,9.604,7.519,0.0,0.0,0.00,0.00,0.122,QSO,6310.2,Alp-gal,-0.167
169.339965,12.975448,J111721.59+125831.6,18.561,17.745,17.208,16.696,16.608,15.918,15.049,14.4,12.695,11.821,9.053,6.349,1.81,1.58,1.02,2.35,0.115,QSO,12000.0,Alp-gal,-0.092
169.352404,15.633500,J111724.57+153800.5,16.687,16.595,16.417,16.364,15.774,15.182,14.315,13.269,11.741,10.474,7.678,5.462,0.0,0.0,1.48,1.39,0.370,QSO,11992.8,Alp,0.091
169.570533,7.766257,J111816.92+074558.5,16.302,16.136,16.106,15.857,15.926,15.242,14.769,14.24,12.771,11.401,8.155,5.929,0.0,0.0,0.00,0.00,1.733,QSO,5353.1,B,-0.015
169.789632,15.537915,J111909.51+153216.4,17.444,16.959,17.066,16.896,16.87,15.998,15.295,14.456,12.799,11.634,8.976,6.949,0.0,0.0,0.00,0.00,0.671,QSO,10025.3,B,-0.000
169.817181,11.018657,J111916.12+110107.1,17.83,17.436,17.297,17.227,16.73,15.962,15.149,14.279,12.648,11.506,8.744,6.3,2.5,2.76,0.94,1.23,0.392,QSO,5893.4,Alp,0.091
169.856769,14.660838,J111925.62+143939.0,20.063,18.805,17.682,17.137,16.817,16.018,15.479,14.536,13.42,12.661,9.751,6.686,0.0,0.0,0.00,0.00,0.230,QSO,9471.6,Alp-gal,0.303
170.020866,4.223128,J112005.00+041323.2,17.533,17.206,17.198,17.05,17.167,16.286,15.649,14.621,12.87,11.756,9.06,6.732,0.0,0.0,0.00,0.00,0.544,QSO,4149.5,B,-0.019
170.081765,13.055570,J112019.62+130320.0,19.385,18.782,18.164,18.031,17.517,16.497,15.709,14.639,13.323,12.314,9.263,6.476,1.64,1.65,1.44,1.34,0.314,QSO,3941.9,Alp,0.262
170.089038,11.076332,J112021.36+110434.7,17.019,16.752,16.941,16.825,16.76,16.132,15.168,14.342,12.634,11.557,8.98,6.698,51.0,51.66,51.21,51.71,0.495,QSO,13933.6,B,-0.114
170.309262,3.429646,J112114.22+032546.7,17.472,17.289,17.054,16.66,16.664,15.609,14.748,13.616,11.855,10.863,8.12,5.608,2.14,2.2,1.10,1.89,0.152,QSO,2563.5,Alp,-0.079
170.539200,1.288701,J112209.40+011719.3,18.057,17.555,17.125,16.661,16.536,15.731,15.114,14.47,13.494,12.737,9.551,7.102,0.0,0.0,0.00,0.00,0.058,QSO,2053.4,Alp,0.038
170.566432,16.056672,J112215.94+160324.0,18.619,18.064,17.325,16.828,16.641,15.726,14.942,14.26,13.122,12.254,9.548,7.074,0.0,0.0,0.00,0.00,0.160,QSO,6167.3,Alp-gal,0.011
170.600612,3.300738,J112224.14+031802.6,18.038,17.664,17.528,17.398,17.375,16.473,15.681,14.612,13.162,12.102,9.647,7.495,0.0,0.0,0.00,0.00,0.474,QSO,3234.9,B,0.019
170.708396,0.508615,J112250.01+003031.0,18.905,18.456,17.697,17.227,16.994,16.203,15.543,14.596,13.39,12.525,10.005,7.596,0.0,0.0,0.00,0.00,0.206,QSO,6102.2,Alp-gal,-0.050
170.823001,5.301113,J112317.52+051804.0,17.203,17.023,16.857,16.885,16.797,15.701,15.495,14.473,13.079,11.736,8.95,6.627,0.0,0.0,0.00,0.00,0.999,QSO,3552.8,B,-0.062
170.836327,1.629859,J112320.71+013747.4,16.267,16.055,15.839,15.645,15.647,14.669,13.884,13.738,12.729,11.332,8.213,6.12,0.0,0.0,0.00,0.00,1.475,QSO,3527.1,B,0.023
170.867148,5.473108,J112328.11+052823.1,18.386,18.053,17.654,17.224,17.184,16.114,15.058,14.42,12.677,11.685,8.831,6.773,0.0,0.0,0.00,0.00,0.101,QSO,2322.9,Alp,0.050
170.958112,12.867694,J112349.94+125203.6,18.166,17.458,16.747,16.239,16.016,15.615,14.878,14.407,13.157,12.409,9.591,7.617,0.0,0.0,0.00,0.00,0.150,QSO,4736.8,Alp-gal,-0.124
170.976661,16.465163,J112354.39+162754.5,19.186,18.057,17.247,16.781,16.5,15.71,14.87,14.321,13.76,13.089,9.842,7.179,0.0,0.0,0.00,0.00,0.157,QSO,3212.1,Alp-gal,0.062
171.014087,4.474733,J112403.38+042829.0,17.836,17.659,17.217,16.657,16.679,15.353,14.658,13.877,12.938,12.097,9.129,6.229,0.0,0.0,0.00,0.00,0.151,QSO,3449.9,Alp,0.078
171.062868,7.237026,J112415.08+071413.2,20.974,18.83,17.793,17.317,16.89,15.684,15.114,14.535,13.765,13.151,10.627,8.282,0.0,0.0,0.00,0.00,0.094,QSO,4555.1,Alp-gal,0.121
171.164247,11.521454,J112439.41+113117.2,18.254,17.939,17.411,16.929,16.776,15.825,15.216,14.225,13.412,12.694,10.676,8.35,6.77,8.03,6.25,6.33,0.143,QSO,2710.2,Alp-gal,-0.356
171.280587,2.621957,J112507.34+023719.0,20.784,18.92,17.573,17.096,16.694,16.523,15.708,14.685,14.104,13.375,10.307,7.505,0.0,0.0,0.00,0.00,0.261,QSO,12000.0,Alp-gal,0.261
171.282300,11.737067,J112507.75+114413.4,17.941,17.327,16.745,16.281,16.144,15.525,14.657,13.902,12.437,11.652,8.891,6.912,0.0,0.0,0.00,0.00,0.131,QSO,6264.8,Alp-gal,-0.252
171.402642,4.590654,J112536.63+043526.3,18.855,18.336,17.812,17.601,17.186,16.306,15.503,14.61,13.55,12.478,9.06,6.829,0.0,0.0,0.00,0.00,0.281,QSO,2182.6,B,0.184
171.560869,15.388889,J112614.60+152320.0,19.309,18.177,17.373,16.812,16.698,15.965,15.178,14.648,13.546,12.879,10.454,7.613,0.0,0.0,0.00,0.00,0.111,QSO,4355.8,Alp-gal,-0.017
171.637162,12.077052,J112632.91+120437.3,17.072,16.934,16.729,16.748,16.643,15.598,15.342,14.557,13.236,11.904,9.092,6.565,0.0,0.0,0.00,0.00,0.976,QSO,3115.3,B,0.007
171.679245,15.765242,J112643.01+154554.8,17.121,16.85,16.828,16.734,16.625,15.618,14.559,13.681,11.884,10.739,8.014,5.661,1.2,1.2,0.00,0.00,0.434,QSO,3400.3,B,0.006
171.804968,10.822405,J112713.19+104920.6,18.391,18.018,17.553,17.166,17.123,16.421,15.422,14.373,13.22,12.308,9.268,6.615,0.0,0.0,0.00,0.00,0.192,QSO,3344.7,Alp,0.089
171.986525,11.907566,J112756.76+115427.2,17.323,17.02,17.024,16.869,16.905,15.932,15.004,14.091,12.287,11.152,7.911,5.117,1.13,1.04,0.00,0.00,0.509,QSO,4692.0,B,0.012
172.054251,10.385664,J112813.02+102308.3,16.64,16.176,15.864,15.526,15.407,14.295,13.304,12.34,10.972,10.006,7.301,5.031,1.79,1.13,1.20,1.29,0.050,QSO,2308.3,Alp,0.003
172.105251,7.180664,J112825.26+071050.3,17.942,17.271,16.811,16.414,16.319,15.787,15.003,14.347,13.397,12.686,9.612,6.884,0.0,0.0,0.00,0.00,0.103,QSO,3365.9,Alp-gal,-0.280
172.215988,6.387611,J112851.83+062315.3,19.283,18.169,17.488,17.065,17.012,15.679,14.754,14.438,12.911,11.267,8.107,6.092,13.32,14.85,4.66,5.12,1.489,QSO,6213.5,B,0.163
172.266677,6.194448,J112904.00+061140.0,18.363,17.298,16.69,16.158,16.032,15.414,14.739,14.234,12.581,11.787,8.912,6.679,0.0,0.0,0.00,0.00,0.074,QSO,9526.3,Alp-gal,-0.191
172.497496,6.498026,J112959.39+062952.8,17.526,17.414,17.246,17.055,16.993,15.932,15.087,14.155,12.853,11.923,9.068,6.586,0.0,0.0,0.00,0.00,0.241,QSO,3049.9,Alp,-0.011
172.572422,7.536974,J113017.38+073213.1,18.048,17.403,17.264,17.165,17.036,16.11,15.356,14.669,13.46,12.327,8.585,6.361,31.13,31.55,58.24,59.70,2.654,QSO,7202.0,B,0.015
172.587512,2.369867,J113021.00+022211.5,17.628,17.645,17.533,17.232,17.224,16.21,15.378,14.339,13.467,12.324,9.284,6.75,0.0,0.0,0.00,0.00,0.241,QSO,6092.1,Alp,-0.088
172.589247,0.973062,J113021.41+005823.0,18.454,17.153,16.208,15.749,15.54,15.258,14.573,13.808,12.514,11.696,8.829,6.232,0.0,0.0,0.00,0.00,0.133,QSO,6192.1,B-gal,0.128
172.679661,10.724877,J113043.11+104329.5,19.275,18.243,17.072,16.51,16.224,15.64,14.907,14.359,12.682,11.739,9.365,7.306,0.0,0.0,0.00,0.00,0.175,QSO,6972.0,Alp-gal,0.113
172.754554,13.761111,J113101.09+134539.9,17.993,16.835,16.084,15.58,15.272,15.109,14.372,13.533,12.713,12.193,9.019,6.465,0.0,0.0,0.00,0.00,0.091,QSO,2657.0,Alp-gal,-0.063
172.779553,11.983116,J113107.09+115859.2,17.35,16.827,16.276,15.754,15.572,15.108,14.209,13.502,12.237,11.366,8.33,5.88,0.0,0.0,0.00,0.00,0.091,QSO,3080.2,Alp-gal,-0.375
172.802621,13.959810,J113112.62+135735.3,18.937,18.032,17.225,16.71,16.409,16.028,15.083,14.5,13.193,12.514,10.015,7.94,0.0,0.0,0.00,0.00,0.176,QSO,3623.6,Alp-gal,0.095
172.904874,15.945941,J113137.16+155645.3,17.897,17.747,17.54,17.09,17.148,16.132,15.323,14.435,13.432,12.41,9.388,7.252,0.0,0.0,0.00,0.00,0.183,QSO,2731.5,Alp,0.064
173.041760,16.220718,J113210.02+161314.5,17.683,17.292,16.682,16.138,15.982,15.293,14.406,13.727,12.371,11.627,9.279,7.076,0.0,0.0,0.00,0.00,0.116,QSO,5726.8,Alp-gal,-0.391
173.043986,13.585929,J113210.55+133509.3,17.564,17.455,17.247,16.866,16.961,15.569,14.665,13.775,12.392,11.289,8.258,5.535,0.0,0.0,0.00,0.00,0.201,QSO,3679.0,Alp,-0.032
173.205300,10.296474,J113249.27+101747.3,17.501,15.848,14.964,14.495,14.159,13.847,13.153,12.169,10.651,9.847,7.138,4.893,0.0,0.0,0.00,0.00,0.044,QSO,5923.8,Alp-gal,0.051
173.247877,10.395067,J113259.49+102342.2,17.351,16.987,17.086,16.988,17.044,15.919,15.26,14.534,12.843,11.754,9.469,7.347,611.22,872.66,210.27,501.34,0.540,QSO,2737.0,B,-0.070
173.365803,3.455322,J113327.79+032719.1,17.769,17.495,17.652,17.503,17.516,16.189,15.386,14.617,13.49,12.348,9.452,7.004,0.0,0.0,0.00,0.00,0.525,QSO,3008.9,B,-0.065
173.376237,10.873155,J113330.29+105223.3,16.38,16.102,16.194,16.127,16.156,15.542,14.794,14.024,12.066,11.0,8.712,6.622,0.0,0.0,0.00,0.00,0.510,QSO,14885.3,B,-0.120
173.397660,9.650472,J113335.43+093901.6,17.051,16.923,16.886,16.973,16.659,16.083,15.376,14.256,12.706,11.571,8.797,6.497,0.0,0.0,0.00,0.00,0.379,QSO,2089.6,Alp,-0.046
173.593667,4.191032,J113422.48+041127.7,16.12,15.959,15.698,15.13,15.206,14.643,13.788,12.906,11.314,10.394,7.626,5.387,0.0,0.0,0.00,0.00,0.108,QSO,5282.3,Alp,-0.071
173.612836,10.020244,J113427.08+100112.8,20.248,19.055,18.406,17.875,17.671,16.498,15.572,14.571,13.628,12.53,9.531,6.847,1.66,1.35,0.00,0.00,0.525,redQSO,1909.3,B-F2M,0.416
173.997883,7.162352,J113559.49+070944.4,19.187,18.523,17.774,17.307,17.143,16.001,15.387,14.523,13.641,12.808,10.025,7.213,0.0,0.0,0.00,0.00,0.158,QSO,5137.5,Alp-gal,-0.030
174.063089,10.575238,J113615.14+103430.8,16.714,16.407,16.501,16.385,16.479,15.44,14.859,13.985,11.996,10.93,8.387,6.306,0.0,0.0,0.00,0.00,0.523,QSO,4307.0,B,-0.052
174.105937,10.089760,J113625.42+100523.1,18.147,17.747,17.667,17.421,17.397,16.084,15.252,14.699,12.81,11.688,8.94,6.557,1.15,0.87,0.00,0.00,0.552,QSO,2761.2,B,0.086
174.108589,2.195618,J113626.06+021144.2,18.259,17.686,16.998,16.53,16.297,15.735,14.992,14.228,13.399,12.802,9.946,7.544,0.0,0.0,0.00,0.00,0.137,QSO,2769.2,Alp-gal,-0.178
