ra,dec,designation,umag,gmag,rmag,imag,zmag,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,zsp,spCl,broad,src,ebv
142.956071,1.725988,J093149.45+014333.5,17.626,17.53,17.48,17.517,16.896,16.321,15.268,14.114,12.656,11.425,8.337,5.849,0.0,0.0,0.00,0.00,0.357,QSO,7824.5,Alp,-0.019
143.126744,14.499183,J093230.41+142957.0,17.782,17.127,16.535,16.103,15.883,15.429,14.697,14.073,13.308,12.793,9.29,7.321,0.0,0.0,0.00,0.00,0.135,QSO,3335.7,Alp-gal,-0.134
143.449595,11.591532,J093347.90+113529.5,18.83,18.33,17.793,17.385,17.267,16.117,15.255,14.616,13.751,12.902,9.424,7.251,0.0,0.0,0.00,0.00,0.217,QSO,2986.0,Alp-gal,-0.066
143.482844,14.322385,J093355.88+141920.5,17.513,16.919,16.48,16.069,15.951,15.416,14.649,14.001,12.45,11.59,8.665,6.339,0.0,0.0,0.00,0.00,0.112,QSO,3374.5,Alp,0.066
143.641454,3.112536,J093433.94+030645.1,18.616,18.134,17.62,17.597,16.96,16.311,15.139,14.215,12.089,11.113,8.592,6.216,0.0,0.0,0.00,0.00,0.297,QSO,5216.4,Alp-gal,-0.401
143.674344,3.753561,J093441.84+034512.8,18.799,17.92,17.304,16.736,16.593,15.611,14.655,14.196,12.953,12.055,9.167,6.582,0.0,0.0,0.00,0.00,0.091,QSO,5036.8,Alp,0.215
143.811292,3.596051,J093514.71+033545.7,16.997,16.978,16.931,16.653,16.545,15.471,15.203,14.496,13.47,12.194,9.127,7.136,0.0,0.0,0.00,0.00,1.823,QSO,5330.0,B,0.002
143.825799,2.070990,J093518.19+020415.5,17.441,16.972,17.015,16.973,17.056,15.843,15.189,14.057,12.278,11.026,8.513,6.486,0.0,0.0,67.56,79.44,0.650,QSO,7663.6,B,-0.072
143.880528,11.136253,J093531.32+110810.5,19.477,19.12,18.412,17.748,17.926,16.655,15.458,14.656,13.786,12.713,9.788,7.193,0.0,0.0,0.66,0.81,0.180,QSO,3705.5,Alp,0.210
144.072845,9.304015,J093617.48+091814.4,17.98,17.36,16.837,16.468,16.265,15.495,14.65,14.1,13.189,12.648,9.243,7.21,0.0,0.0,0.00,0.00,0.130,QSO,5434.5,Alp-gal,-0.222
