TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,L6_Z_MATCH_BIN,144_LUM,EDR?
39628287529452555,23.364402216632364,21.244435486995453,1.396030694300167,QSO,0.046057370284753985,0.006521302057188196,2.880467331156374E-5,45.50048706312072,,1.3591883031896608E24,true
39628293162406521,23.32629114470123,21.447908407635946,1.8802101829308686,QSO,-0.05308338583490424,0.0,2.7670292516676088E-5,45.857057057186836,,0.0,true
39628298799549297,23.84347302894626,21.759253411129055,1.0031643975912239,QSO,-0.1408039878657777,0.0020380479565384724,2.7176366121550278E-5,45.181262469453756,,0.0,true
39628298828910218,25.779690912461135,21.797497249163442,1.3715152560164907,QSO,-0.0012944771588782045,0.004384161234596961,1.99093251900857E-5,45.0599313483189,,0.0,true
39628310031892952,23.773706301713823,22.370971396668324,0.7076459919845266,QSO,0.03221017989555275,0.005250738852515925,1.987796423398848E-5,45.25233268737755,,1.7306231785661988E24,true
39628315614514299,23.17672615921419,22.553465625293114,1.4793835522580399,QSO,-0.08783022195258378,0.0,2.326160104179853E-5,45.37262735383247,,0.0,true
39628326779751336,23.239375614087642,23.028539492369678,1.161776177795807,QSO,0.14992881776168154,0.0,2.4453087145000517E-5,44.98380981222056,,0.0,true
39628329443132207,195.21920885451513,23.118497987655747,1.0639083363731003,QSO,0.11372639174056176,0.0,4.770196437396243E-5,44.9743713522168,,0.0,true
39628329443133889,195.29786394170048,23.10375377100106,2.1870000000000003,QSO,0.20327906638671855,0.008760892379747018,4.913207001919031E-5,45.723624060429046,,0.0,true
39628332374952642,24.86476842522465,23.169758351285285,0.9519707392581763,QSO,0.016298799144376597,0.0068983856381168085,1.493018000673177E-5,44.67673650976062,,0.0,true
39628334983807806,193.62108543419544,23.309064845645473,2.0586383189046766,QSO,-0.08511702526722292,0.0,2.764381705769522E-5,45.66698968018404,,0.0,true
39628334983810045,193.7541245948873,23.31067840938298,1.2542025297992228,QSO,0.08949916010777292,0.013379329032107045,4.53047997474396E-5,44.98195362313078,,0.0,true
39628334983810855,193.80297409978786,23.23572944644322,1.675154427290304,QSO,0.17595085826543566,0.0032237134033857606,2.6414323763468124E-5,45.328113563783226,3,0.0,true
39628334988001918,193.87544410291972,23.264173799393166,1.7035726724751166,QSO,-0.0825740272269554,0.0,4.6013335798472275E-5,45.38298231124318,,0.0,true
39628334988002132,193.88725919261717,23.265867272549954,1.2346399714836356,QSO,-0.009151808460317434,0.0,2.6914878644444345E-5,44.90729047668984,,0.0,true
39628334988002590,193.91511828811537,23.164493637428688,1.8596386512756733,QSO,-0.029232845270649177,0.0032842659201623298,2.6971086446764206E-5,45.40608683230062,,0.0,true
39628334988004691,194.03209885178035,23.342236714872115,1.7458258379999914,QSO,0.03886143601155245,0.0037193671163823438,2.567144816477639E-5,45.56738233592232,,0.0,true
39628334988005624,194.08272537911262,23.271558570319733,1.57723080388169,QSO,0.0025004438289428776,0.0,5.777146670257174E-5,45.191918865612685,,0.0,true
39628334996392438,194.52875483237966,23.303107621737016,1.149483051571247,QSO,-0.05219840834511813,0.003300597547332379,1.9252929976334955E-5,45.16631461821946,,0.0,true
39628334996392814,194.54988830396155,23.369379355389125,1.4400874415097438,QSO,0.048476573338475326,0.01932613886199363,4.946008666617961E-5,45.12710926147921,,0.0,true
39628335000587933,194.89007523916442,23.23817410954868,1.664715384981111,QSO,0.2161316285325119,0.011509143283608636,3.324373261967232E-5,45.19032589412321,,0.0,true
39628335004779308,194.9744069110065,23.313979429961687,1.2281567027070257,QSO,0.2011869807354325,0.0,2.594325543956959E-5,44.82694282246648,4,0.0,true
39628335004779471,194.98283006340378,23.3051196880332,2.1284176137370796,QSO,-0.019316122511759626,0.008744475759342505,3.981086355141588E-5,46.385124932783164,,0.0,true
39628335008974832,195.32741252727186,23.341887859514447,1.4807939853264676,QSO,-0.010125722997580133,0.00941596446441314,4.439995088902071E-5,45.157918196752256,,0.0,true
39628335008975568,195.37853985900753,23.245298843022404,2.177214924181485,QSO,-0.14005590608431362,0.0,6.857037592831868E-5,45.632535779154814,,0.0,true
39628335008975879,195.397942526,23.20416541500888,0.8771794154178454,QSO,0.0521951688169231,0.003023920853773242,1.4799700646914703E-5,44.83177099906508,,0.0,true
39628335013167548,195.49928540843806,23.320650824237422,1.3926768885377308,QSO,0.05360052863701692,0.0,1.4081957331294002E-5,45.42611933738192,,0.0,true
39628335013167998,195.52073169147482,23.33600978782331,0.8630201384490424,QSO,0.01641387933794336,0.0,1.8584719047257703E-5,45.5050122507598,,0.0,true
39628335013169275,195.5878976406021,23.265495124171284,0.8636130719996445,QSO,0.09516380703783289,0.008978475940321515,2.736641773260708E-5,44.702636750237055,2,0.0,true
39628335017365278,195.9805706307052,23.368169315145312,1.0360227339858716,QSO,0.025253334237532732,0.003855871936157145,1.537837376885175E-5,44.672335300787864,,0.0,true
39628340532872380,193.42433006962054,23.511347625670005,1.0171824246483503,QSO,-0.007681578830294633,0.005821600522662884,1.8997992427936957E-5,44.86452794088959,1,0.0,true
39628340532872626,193.43863005949476,23.54232402351692,1.504482525403041,QSO,0.02874602765588774,0.0,3.90074276574359E-5,45.14408371887746,2,0.0,true
39628340532874713,193.55957008854486,23.55959355256398,0.9628436127538738,QSO,0.05456449631489202,0.005698755367842479,1.4981184221019511E-5,45.12453772389566,,0.0,true
