wave,obj,sky,noise,s2n
3150.0,1.7336,0.0,12.6032,0.13410148
3160.0,1.7336,0.0,12.6032,0.13410148
3170.0,1.7336,25.697,12.6032,0.12450483
3180.0,1.7336,36.6663,12.6032,0.12099201
3190.0,1.7336,32.695,12.6032,0.12222918
3200.0,1.7336,38.711,12.6032,0.1203695
3210.0,1.78204,41.674,12.6032,0.12280854
3220.0,1.83183,58.0292,12.6032,0.12141193
3230.0,1.75354,52.3421,12.6032,0.11778587
3240.0,1.71144,25.3584,12.6032,0.12303262
3250.0,1.709,18.6498,12.6032,0.12513728
3260.0,1.73957,42.1477,12.6032,0.11975364
3270.0,1.80008,28.7805,12.6032,0.12820059
3280.0,1.87035,51.7557,12.6032,0.12577209
3290.0,1.96458,25.323,12.6032,0.14115135
3300.0,2.06656,49.6826,12.6032,0.13958674
3310.0,2.18311,31.9893,12.6032,0.15403148
3320.0,2.29568,41.8238,12.6032,0.15795507
3330.0,2.39261,29.3166,12.6032,0.16990512
3340.0,2.51098,26.981,12.6032,0.17936004
3350.0,2.61713,48.3528,12.6032,0.17711256
3360.0,2.72406,26.1453,12.6032,0.19490725
3370.0,2.84356,54.2688,12.6032,0.18968231
3380.0,2.92664,48.1167,12.6032,0.1980295
3390.0,3.01483,47.8425,12.6032,0.20408903
3400.0,3.09724,48.3006,12.6032,0.20939979
3410.0,3.18657,31.0235,12.6032,0.22483325
3420.0,3.26601,45.9685,12.6032,0.22195934
3430.0,3.34151,48.7346,12.6032,0.22555608
3440.0,3.39821,43.5132,12.6032,0.2322476
3450.0,3.48849,29.2662,12.6032,0.24707722
3460.0,3.5284,55.1173,12.6032,0.23454827
3470.0,3.61097,39.2815,12.6032,0.24924146
3480.0,3.66977,57.5981,12.6032,0.24249041
3490.0,3.74065,58.3209,12.6032,0.24673124
3500.0,3.79923,31.261,12.6032,0.26748824
3510.0,3.88218,49.932,12.6032,0.26099119
3520.0,3.95468,40.431,12.6032,0.27196942
3530.0,4.03254,40.4638,12.6032,0.27725005
3540.0,4.10712,45.1688,12.6032,0.2791158
3550.0,4.18282,59.774,12.6032,0.2747304
3560.0,4.27276,92.2968,12.6032,0.26209865
3570.0,4.37253,73.2012,12.6032,0.27879593
3580.0,4.46313,51.4251,12.6032,0.29860995
3590.0,4.57663,42.8604,12.6032,0.31242182
3600.0,4.67597,40.9859,12.6032,0.32058997
3610.0,4.78563,52.1075,12.6032,0.31944909
