wave,obj,sky,noise,s2n
3150.0,1.13488,0.0,12.6032,0.087945356
3160.0,1.13488,0.0,12.6032,0.087945359
3170.0,1.13488,25.697,12.6032,0.081631509
3180.0,1.13488,36.6663,12.6032,0.0793215
3190.0,1.13488,32.695,12.6032,0.080134989
3200.0,1.13488,38.711,12.6032,0.078912198
3210.0,1.16658,41.674,12.6032,0.080512666
3220.0,1.19918,58.0292,12.6032,0.079591317
3230.0,1.14793,52.3421,12.6032,0.077212454
3240.0,1.12037,25.3584,12.6032,0.080664902
3250.0,1.11877,18.6498,12.6032,0.082049318
3260.0,1.13878,42.1477,12.6032,0.078506905
3270.0,1.1784,28.7805,12.6032,0.084057382
3280.0,1.2244,51.7557,12.6032,0.082455474
3290.0,1.28609,25.323,12.6032,0.09256503
3300.0,1.35284,49.6826,12.6032,0.091527668
3310.0,1.42914,31.9893,12.6032,0.10102435
3320.0,1.50283,41.8238,12.6032,0.10359771
3330.0,1.56629,29.3166,12.6032,0.1114585
3340.0,1.64378,26.981,12.6032,0.1176762
3350.0,1.71327,48.3528,12.6032,0.11618502
3360.0,1.78327,26.1453,12.6032,0.12790172
3370.0,1.8615,54.2688,12.6032,0.12444511
3380.0,1.91588,48.1167,12.6032,0.12993828
3390.0,1.97361,47.8425,12.6032,0.13392396
3400.0,2.02756,48.3006,12.6032,0.13741704
3410.0,2.08604,31.0235,12.6032,0.14758883
3420.0,2.13805,45.9685,12.6032,0.14568259
3430.0,2.18747,48.7346,12.6032,0.14804692
3440.0,2.22459,43.5132,12.6032,0.15245613
3450.0,2.28369,29.2662,12.6032,0.16223669
3460.0,2.30982,55.1173,12.6032,0.15395886
3470.0,2.36387,39.2815,12.6032,0.16364936
3480.0,2.40236,57.5981,12.6032,0.15918406
3490.0,2.44877,58.3209,12.6032,0.16197503
3500.0,2.48711,31.261,12.6032,0.17567974
3510.0,2.54141,49.932,12.6032,0.17137431
3520.0,2.58888,40.431,12.6032,0.17861886
3530.0,2.63984,40.4638,12.6032,0.1820983
3540.0,2.68867,45.1688,12.6032,0.18332076
3550.0,2.73823,59.774,12.6032,0.18041149
3560.0,2.7971,92.2968,12.6032,0.17205761
3570.0,2.86242,73.2012,12.6032,0.18307273
3580.0,2.92173,51.4251,12.6032,0.19615879
3590.0,2.99603,42.8604,12.6032,0.20528004
3600.0,3.06106,40.9859,12.6032,0.21067093
3610.0,3.13285,52.1075,12.6032,0.20989726
3620.0,3.22778,50.6403,12.6032,0.21695665
3630.0,3.31458,54.1316,12.6032,0.22094072
3640.0,3.39691,73.4709,12.6032,0.21689619
3650.0,3.4735,123.134,12.6032,0.20152997
3660.0,3.57298,73.6652,12.6032,0.22796224
3670.0,3.67541,50.3975,12.6032,0.24693547
3680.0,3.77371,38.2277,12.6032,0.26105626
3690.0,3.88126,59.9891,12.6032,0.25496637
3700.0,3.98648,68.1065,12.6032,0.25717297
3710.0,4.09488,74.4889,12.6032,0.26052989
3720.0,4.20836,52.7001,12.6032,0.28089062
3730.0,4.31794,66.0759,12.6032,0.27959496
3740.0,4.43646,68.9512,12.6032,0.28541364
3750.0,4.5566,50.872,12.6032,0.30519307
3760.0,4.67244,61.995,12.6032,0.30505048
3770.0,4.78897,51.3503,12.6032,0.32023282
3780.0,4.90551,73.981,12.6032,0.3119274
3790.0,5.02733,60.5251,12.6032,0.32904567
3800.0,5.14908,73.0728,12.6032,0.32788099
3810.0,5.26878,68.6307,12.6032,0.33861067
3820.0,5.39056,81.123,12.6032,0.33740954
3830.0,5.51093,89.9774,12.6032,0.3388009
3840.0,5.62564,76.3003,12.6032,0.35547242
3850.0,5.7463,70.4107,12.6032,0.36753419
3860.0,5.85788,67.3796,12.6032,0.37702662
3870.0,5.97881,77.5024,12.6032,0.37658421
3880.0,6.08973,47.9381,12.6032,0.409279
3890.0,6.19681,77.6267,12.6032,0.39004648
3900.0,6.30387,83.6917,12.6032,0.3918316
3910.0,6.41464,221.017,12.6032,0.3199635
3920.0,6.51892,120.505,12.6032,0.3780272
3930.0,6.6198,83.0482,12.6032,0.41175101
3940.0,6.71897,104.373,12.6032,0.40097755
3950.0,6.81961,121.827,12.6032,0.39435343
3960.0,6.90714,103.791,12.6032,0.41251447
3970.0,7.00441,74.0277,12.6032,0.44346945
3980.0,7.09551,112.308,12.6032,0.41708161
3990.0,7.18081,111.932,12.6032,0.42231986
4000.0,7.2589,152.483,12.6032,0.39873818
4010.0,7.33725,146.75,12.6032,0.40667206
4020.0,7.4161,128.225,12.6032,0.42373507
4030.0,7.49747,164.515,12.6032,0.40413222
4040.0,7.58449,165.486,12.6032,0.40817213
4050.0,7.64767,1180.2,12.6032,0.20425691
4060.0,7.72887,174.611,12.6032,0.41025215
4070.0,7.81046,174.423,12.6032,0.41464947
4080.0,7.87327,469.601,12.6032,0.30595538
4090.0,7.94127,210.776,12.6032,0.40069269
4100.0,8.00409,138.528,12.6032,0.44911116
4110.0,8.06831,142.439,12.6032,0.44979569
4120.0,8.13395,124.6,12.6032,0.46708725
4130.0,8.19687,153.183,12.6032,0.44913368
4140.0,8.26413,157.88,12.6032,0.44948607
4150.0,8.3161,146.422,12.6032,0.46047494
4160.0,8.37967,154.077,12.6032,0.45838414
4170.0,8.44291,205.863,12.6032,0.42852767
4180.0,8.50505,166.639,12.6032,0.45631466
4190.0,8.56074,147.141,12.6032,0.47330137
4200.0,8.62299,148.946,12.6032,0.4753346
4210.0,8.68854,173.712,12.6032,0.46117621
4220.0,8.74576,151.508,12.6032,0.48007065
4230.0,8.81026,169.287,12.6032,0.47061967
4240.0,8.87753,238.71,12.6032,0.43173802
4250.0,8.94138,338.42,12.6032,0.38960698
4260.0,9.00026,202.394,12.6032,0.45862486
4270.0,9.0692,151.253,12.6032,0.49778179
4280.0,9.12935,173.62,12.6032,0.48433805
4290.0,9.20412,170.098,12.6032,0.49079296
4300.0,9.25825,179.056,12.6032,0.48722372
4310.0,9.33517,217.604,12.6032,0.46600743
4320.0,9.40364,208.271,12.6032,0.47517283
4330.0,9.46841,207.884,12.6032,0.47865242
4340.0,9.53186,211.844,12.6032,0.47930249
4350.0,9.60045,336.331,12.6032,0.41892818
4360.0,9.67648,4060.91,12.6032,0.14582403
4370.0,9.7348,299.06,12.6032,0.44135137
4380.0,9.80794,312.491,12.6032,0.43837935
4390.0,9.88335,232.167,12.6032,0.48398835
4400.0,9.94474,203.666,12.6032,0.50526603
4410.0,10.0126,258.399,12.6032,0.47493973
4420.0,10.0854,278.548,12.6032,0.4674479
4430.0,10.1539,251.125,12.6032,0.4857216
4440.0,10.219,234.336,12.6032,0.49887565
4450.0,10.2846,214.301,12.6032,0.51500228
4460.0,10.3519,229.417,12.6032,0.50839499
4470.0,10.4142,223.387,12.6032,0.51533066
4480.0,10.484,211.482,12.6032,0.52679933
4490.0,10.5396,249.835,12.6032,0.50472562
4500.0,10.6031,264.951,12.6032,0.49880838
4510.0,10.6644,283.962,12.6032,0.49101686
4520.0,10.7164,234.021,12.6032,0.52305436
4530.0,10.7684,226.487,12.6032,0.53053918
4540.0,10.8274,245.964,12.6032,0.52074494
4550.0,10.8774,244.655,12.6032,0.52394793
4560.0,10.9243,245.541,12.6032,0.52561561
4570.0,10.975,222.509,12.6032,0.54331704
4580.0,11.0156,224.562,12.6032,0.54388099
4590.0,11.0521,202.848,12.6032,0.56134121
4600.0,11.0917,222.453,12.6032,0.5490554
4610.0,11.1288,214.076,12.6032,0.55684932
4620.0,11.1537,198.673,12.6032,0.56962892
4630.0,11.1956,215.969,12.6032,0.55876706
4640.0,11.2182,210.07,12.6032,0.56421385
4650.0,11.2459,206.018,12.6032,0.56862956
4660.0,11.2715,274.306,12.6032,0.52424801
4670.0,11.291,372.823,12.6032,0.47507419
4680.0,11.3099,336.637,12.6032,0.49257101
4690.0,11.3267,258.18,12.6032,0.53661647
4700.0,11.3424,249.122,12.6032,0.54313243
4710.0,11.3578,292.712,12.6032,0.51759198
4720.0,11.3817,259.398,12.6032,0.53842589
4730.0,11.3822,329.444,12.6032,0.49924717
4740.0,11.3877,434.968,12.6032,0.4538178
4750.0,11.4007,294.486,12.6032,0.5185306
4760.0,11.409,240.594,12.6032,0.55192434
4770.0,11.4214,188.396,12.6032,0.59140545
4780.0,11.4239,245.696,12.6032,0.54923242
4790.0,11.4338,186.051,12.6032,0.59398408
4800.0,11.4309,192.616,12.6032,0.58843389
4810.0,11.4367,211.815,12.6032,0.57372965
4820.0,11.4431,225.448,12.6032,0.56405751
4830.0,11.4601,272.822,12.6032,0.53380469
