wave,obj,sky,noise,s2n
3150.0,7.29372,0.0,12.6032,0.5550437
3160.0,7.29372,0.0,12.6032,0.55504372
3170.0,7.29372,25.697,12.6032,0.5164721
3180.0,7.29372,36.6663,12.6032,0.50228989
3190.0,7.29372,32.695,12.6032,0.50728845
3200.0,7.29372,38.711,12.6032,0.49977319
3210.0,7.49751,41.674,12.6032,0.50981595
3220.0,7.70699,58.0292,12.6032,0.50434605
3230.0,7.37763,52.3421,12.6032,0.48938696
3240.0,7.2005,25.3584,12.6032,0.51044243
3250.0,7.19023,18.6498,12.6032,0.51891683
3260.0,7.31882,42.1477,12.6032,0.49730444
3270.0,7.57343,28.7805,12.6032,0.53164664
3280.0,7.86907,51.7557,12.6032,0.52212325
3290.0,8.26552,25.323,12.6032,0.58443339
3300.0,8.69457,49.6826,12.6032,0.5785962
3310.0,9.18492,31.9893,12.6032,0.63704488
3320.0,9.65854,41.8238,12.6032,0.65327181
3330.0,10.0664,29.3166,12.6032,0.70139487
3340.0,10.5644,26.981,12.6032,0.73957455
3350.0,11.011,48.3528,12.6032,0.73123795
3360.0,11.4608,26.1453,12.6032,0.80228195
3370.0,11.9636,54.2688,12.6032,0.78232887
3380.0,12.3131,48.1167,12.6032,0.81581797
3390.0,12.6842,47.8425,12.6032,0.8402437
3400.0,13.0309,48.3006,12.6032,0.86165677
3410.0,13.4068,31.0235,12.6032,0.92275173
3420.0,13.741,45.9685,12.6032,0.91204158
3430.0,14.0586,48.7346,12.6032,0.92662112
3440.0,14.2972,43.5132,12.6032,0.95316788
3450.0,14.677,29.2662,12.6032,1.0115222
3460.0,14.8449,55.1173,12.6032,0.96302353
3470.0,15.1923,39.2815,12.6032,1.0208415
3480.0,15.4397,57.5981,12.6032,0.99497694
3490.0,15.7379,58.3209,12.6032,1.0119904
3500.0,15.9844,31.261,12.6032,1.0928738
3510.0,16.3334,49.932,12.6032,1.0684101
3520.0,16.6384,40.431,12.6032,1.1113994
3530.0,16.966,40.4638,12.6032,1.1323653
3540.0,17.2798,45.1688,12.6032,1.1401465
3550.0,17.5983,59.774,12.6032,1.1238036
3560.0,17.9767,92.2968,12.6032,1.0753436
3570.0,18.3964,73.2012,12.6032,1.1408979
3580.0,18.7776,51.4251,12.6032,1.2179185
3590.0,19.2551,42.8604,12.6032,1.27167
3600.0,19.6731,40.9859,12.6032,1.3036409
3610.0,20.1344,52.1075,12.6032,1.3002806
3620.0,20.7446,50.6403,12.6032,1.3422541
3630.0,21.3024,54.1316,12.6032,1.3664062
3640.0,21.8316,73.4709,12.6032,1.3443628
3650.0,22.3238,123.134,12.6032,1.2559742
3660.0,22.9631,73.6652,12.6032,1.4104791
3670.0,23.6214,50.3975,12.6032,1.5200706
3680.0,24.2532,38.2277,12.6032,1.6011515
3690.0,24.9444,59.9891,12.6032,1.5688875
3700.0,25.6206,68.1065,12.6032,1.58309
3710.0,26.3173,74.4889,12.6032,1.6038134
3720.0,27.0467,52.7001,12.6032,1.7198766
3730.0,27.7509,66.0759,12.6032,1.7146649
3740.0,28.5126,68.9512,12.6032,1.749237
3750.0,29.2847,50.872,12.6032,1.8609356
3760.0,30.0292,61.995,12.6032,1.8624578
3770.0,30.7782,51.3503,12.6032,1.9480209
3780.0,31.5272,73.981,12.6032,1.9048236
3790.0,32.3101,60.5251,12.6032,2.0010329
3800.0,33.0926,73.0728,12.6032,1.9971445
3810.0,33.8619,68.6307,12.6032,2.0580755
3820.0,34.6445,81.123,12.6032,2.0539789
3830.0,35.4181,89.9774,12.6032,2.0639092
3840.0,36.1553,76.3003,12.6032,2.1569004
3850.0,36.9308,70.4107,12.6032,2.2244672
3860.0,37.648,67.3796,12.6032,2.2777642
3870.0,38.4251,77.5024,12.6032,2.2780788
3880.0,39.138,47.9381,12.6032,2.4536225
3890.0,39.8262,77.6267,12.6032,2.3548167
3900.0,40.5142,83.6917,12.6032,2.3667022
3910.0,41.2262,221.017,12.6032,1.9727121
3920.0,41.8963,120.505,12.6032,2.296758
3930.0,42.5447,83.0482,12.6032,2.4795667
3940.0,43.182,104.373,12.6032,2.4244183
3950.0,43.8288,121.827,12.6032,2.3908392
3960.0,44.3914,103.791,12.6032,2.4899504
3970.0,45.0166,74.0277,12.6032,2.6550202
3980.0,45.602,112.308,12.6032,2.5182416
3990.0,46.1503,111.932,12.6032,2.5479105
4000.0,46.6521,152.483,12.6032,2.422699
4010.0,47.1557,146.75,12.6032,2.4670962
4020.0,47.6624,128.225,12.6032,2.5602873
4030.0,48.1854,164.515,12.6032,2.4561836
4040.0,48.7446,165.486,12.6032,2.4796375
4050.0,49.1507,1180.2,12.6032,1.2937246
4060.0,49.6726,174.611,12.6032,2.4934231
4070.0,50.1969,174.423,12.6032,2.5187011
4080.0,50.6006,469.601,12.6032,1.9058171
4090.0,51.0377,210.776,12.6032,2.4445864
4100.0,51.4413,138.528,12.6032,2.7072026
4110.0,51.8541,142.439,12.6032,2.7121339
4120.0,52.2759,124.6,12.6032,2.8047194
4130.0,52.6804,153.183,12.6032,2.7111606
4140.0,53.1126,157.88,12.6032,2.7143404
4150.0,53.4466,146.422,12.6032,2.7737336
4160.0,53.8552,154.077,12.6032,2.7639257
4170.0,54.2616,205.863,12.6032,2.6046624
4180.0,54.661,166.639,12.6032,2.7553474
4190.0,55.0189,147.141,12.6032,2.8464504
4200.0,55.419,148.946,12.6032,2.8584421
4210.0,55.8402,173.712,12.6032,2.7847271
4220.0,56.208,151.508,12.6032,2.8858973
4230.0,56.6225,169.287,12.6032,2.8372639
4240.0,57.0549,238.71,12.6032,2.6289891
4250.0,57.4652,338.42,12.6032,2.3960185
4260.0,57.8437,202.394,12.6032,2.776704
4270.0,58.2867,151.253,12.6032,2.9855004
4280.0,58.6733,173.62,12.6032,2.9160981
4290.0,59.1538,170.098,12.6032,2.9516241
4300.0,59.5017,179.056,12.6032,2.9338559
4310.0,59.9961,217.604,12.6032,2.8221297
4320.0,60.4361,208.271,12.6032,2.8724634
4330.0,60.8524,207.884,12.6032,2.8922048
4340.0,61.2602,211.844,12.6032,2.896798
4350.0,61.701,336.331,12.6032,2.5680328
4360.0,62.1896,4060.91,12.6032,0.93165536
4370.0,62.5644,299.06,12.6032,2.6940113
4380.0,63.0345,312.491,12.6032,2.6785976
4390.0,63.5191,232.167,12.6032,2.927933
4400.0,63.9137,203.666,12.6032,3.0422771
4410.0,64.3499,258.399,12.6032,2.8813268
4420.0,64.8175,278.548,12.6032,2.8418088
4430.0,65.2581,251.125,12.6032,2.9417165
4440.0,65.6763,234.336,12.6032,3.0132653
4450.0,66.0979,214.301,12.6032,3.1000326
4460.0,66.5304,229.417,12.6032,3.0662573
4470.0,66.9306,223.387,12.6032,3.1041404
4480.0,67.3798,211.482,12.6032,3.1659117
4490.0,67.7371,249.835,12.6032,3.0499443
4500.0,68.1451,264.951,12.6032,3.0192964
4510.0,68.5387,283.962,12.6032,2.9782906
4520.0,68.8733,234.021,12.6032,3.1504463
4530.0,69.2074,226.487,12.6032,3.1909002
4540.0,69.5863,245.964,12.6032,3.1401623
4550.0,69.908,244.655,12.6032,3.1580258
4560.0,70.2093,245.541,12.6032,3.167685
4570.0,70.5349,222.509,12.6032,3.2618791
4580.0,70.7963,224.562,12.6032,3.2656025
4590.0,71.0304,202.848,12.6032,3.3572846
4600.0,71.2849,222.453,12.6032,3.2941303
4610.0,71.5234,214.076,12.6032,3.3355013
4620.0,71.6833,198.673,12.6032,3.4022127
4630.0,71.9527,215.969,12.6032,3.3467922
4640.0,72.0981,210.07,12.6032,3.3755286
4650.0,72.2762,206.018,12.6032,3.3989516
4660.0,72.4408,274.306,12.6032,3.1662981
4670.0,72.5659,372.823,12.6032,2.900003
4680.0,72.6873,336.637,12.6032,2.996094
4690.0,72.7953,258.18,12.6032,3.232955
4700.0,72.8965,249.122,12.6032,3.267657
4710.0,72.995,292.712,12.6032,3.1320756
4720.0,73.1491,259.398,12.6032,3.2434854
4730.0,73.1523,329.444,12.6032,3.0334205
4740.0,73.1874,434.968,12.6032,2.7832473
4750.0,73.2708,294.486,12.6032,3.1377817
4760.0,73.3243,240.594,12.6032,3.3151004
4770.0,73.4042,188.396,12.6032,3.5196662
4780.0,73.42,245.696,12.6032,3.3012348
4790.0,73.4837,186.051,12.6032,3.5330879
4800.0,73.4652,192.616,12.6032,3.504691
4810.0,73.5026,211.815,12.6032,3.429198
4820.0,73.5434,225.448,12.6032,3.3791498
4830.0,73.653,272.822,12.6032,3.2203078
4840.0,73.716,272.03,12.6032,3.2254128
4850.0,73.7559,280.554,12.6032,3.199962
4860.0,73.8536,239.687,12.6032,3.3404508
4870.0,73.8936,270.805,12.6032,3.2365855
4880.0,73.9868,275.302,12.6032,3.2259259
4890.0,74.0612,237.105,12.6032,3.3583733
4900.0,74.1631,261.605,12.6032,3.277794
4910.0,74.2765,276.226,12.6032,3.2347085
4920.0,74.3621,287.215,12.6032,3.2036068
4930.0,74.4847,238.19,12.6032,3.3721969
4940.0,74.5665,264.839,12.6032,3.2835512
4950.0,74.6824,236.431,12.6032,3.3868228
4960.0,74.8298,270.661,12.6032,3.2751201
