wave,obj,sky,noise,s2n
3150.0,5.9013,0.0,12.6032,0.45090422
3160.0,5.9013,0.0,12.6032,0.45090423
3170.0,5.9013,25.697,12.6032,0.41934098
3180.0,5.9013,36.6663,12.6032,0.40774833
3190.0,5.9013,32.695,12.6032,0.41183344
3200.0,5.9013,38.711,12.6032,0.40569185
3210.0,6.06619,41.674,12.6032,0.41386084
3220.0,6.23568,58.0292,12.6032,0.40935509
3230.0,5.96919,52.3421,12.6032,0.39719281
3240.0,5.82589,25.3584,12.6032,0.41442989
3250.0,5.81757,18.6498,12.6032,0.42136152
3260.0,5.92162,42.1477,12.6032,0.40367024
3270.0,6.12762,28.7805,12.6032,0.43169279
3280.0,6.36682,51.7557,12.6032,0.42385079
3290.0,6.68758,25.323,12.6032,0.47473793
3300.0,7.03472,49.6826,12.6032,0.46986889
3310.0,7.43146,31.9893,12.6032,0.51761695
3320.0,7.81466,41.8238,12.6032,0.53080185
3330.0,8.14464,29.3166,12.6032,0.57016045
3340.0,8.54757,26.981,12.6032,0.6013648
3350.0,8.90891,48.3528,12.6032,0.59440201
3360.0,9.2729,26.1453,12.6032,0.65262965
3370.0,9.6797,54.2688,12.6032,0.63609149
3380.0,9.9625,48.1167,12.6032,0.66350576
3390.0,10.2627,47.8425,12.6032,0.68347724
3400.0,10.5432,48.3006,12.6032,0.7009842
3410.0,10.8473,31.0235,12.6032,0.75116064
3420.0,11.1178,45.9685,12.6032,0.74222878
3430.0,11.3748,48.7346,12.6032,0.75413301
3440.0,11.5678,43.5132,12.6032,0.77592338
3450.0,11.8751,29.2662,12.6032,0.82391761
3460.0,12.0109,55.1173,12.6032,0.78386511
3470.0,12.292,39.2815,12.6032,0.83141864
3480.0,12.4922,57.5981,12.6032,0.81000278
3490.0,12.7335,58.3209,12.6032,0.82392929
3500.0,12.9329,31.261,12.6032,0.8906128
3510.0,13.2152,49.932,12.6032,0.87026942
3520.0,13.4621,40.431,12.6032,0.90566746
3530.0,13.7271,40.4638,12.6032,0.92287203
3540.0,13.981,45.1688,12.6032,0.92918226
3550.0,14.2387,59.774,12.6032,0.9155562
3560.0,14.5448,92.2968,12.6032,0.87544609
3570.0,14.8844,73.2012,12.6032,0.92939207
3580.0,15.1929,51.4251,12.6032,0.99292608
3590.0,15.5792,42.8604,12.6032,1.0372496
3600.0,15.9174,40.9859,12.6032,1.0635747
3610.0,16.2907,52.1075,12.6032,1.0605847
3620.0,16.7843,50.6403,12.6032,1.0951265
3630.0,17.2356,54.1316,12.6032,1.1149181
3640.0,17.6638,73.4709,12.6032,1.0964145
3650.0,18.062,123.134,12.6032,1.0231258
3660.0,18.5793,73.6652,12.6032,1.1507666
3670.0,19.112,50.3975,12.6032,1.2415271
