wave,obj,sky,noise,s2n
3150.0,1.38979,0.0,12.6032,0.10761704
3160.0,1.38979,0.0,12.6032,0.10761704
3170.0,1.38979,25.697,12.6032,0.099901476
3180.0,1.38979,36.6663,12.6032,0.097078031
3190.0,1.38979,32.695,12.6032,0.098072366
3200.0,1.38979,38.711,12.6032,0.096577723
3210.0,1.42862,41.674,12.6032,0.098535708
3220.0,1.46854,58.0292,12.6032,0.097411106
3230.0,1.40578,52.3421,12.6032,0.094500581
3240.0,1.37203,25.3584,12.6032,0.098719241
3250.0,1.37007,18.6498,12.6032,0.10041115
3260.0,1.39457,42.1477,12.6032,0.096082506
3270.0,1.44309,28.7805,12.6032,0.10286885
3280.0,1.49942,51.7557,12.6032,0.10091346
3290.0,1.57496,25.323,12.6032,0.11327199
3300.0,1.65671,49.6826,12.6032,0.11200847
3310.0,1.75015,31.9893,12.6032,0.12361703
3320.0,1.84039,41.8238,12.6032,0.12676589
3330.0,1.9181,29.3166,12.6032,0.13637255
3340.0,2.013,26.981,12.6032,0.14397213
3350.0,2.09809,48.3528,12.6032,0.14215641
3360.0,2.18382,26.1453,12.6032,0.1564695
3370.0,2.27962,54.2688,12.6032,0.1522554
3380.0,2.34622,48.1167,12.6032,0.15896737
3390.0,2.41692,47.8425,12.6032,0.16383842
3400.0,2.48299,48.3006,12.6032,0.1681075
3410.0,2.55461,31.0235,12.6032,0.18052821
3420.0,2.61829,45.9685,12.6032,0.17820681
3430.0,2.67882,48.7346,12.6032,0.18109711
3440.0,2.72427,43.5132,12.6032,0.18648168
3450.0,2.79665,29.2662,12.6032,0.19842113
3460.0,2.82864,55.1173,12.6032,0.18832372
3470.0,2.89484,39.2815,12.6032,0.20015328
3480.0,2.94197,57.5981,12.6032,0.19470899
3490.0,2.9988,58.3209,12.6032,0.19811913
3500.0,3.04576,31.261,12.6032,0.21484119
3510.0,3.11226,49.932,12.6032,0.20959604
3520.0,3.17039,40.431,12.6032,0.21843758
3530.0,3.2328,40.4638,12.6032,0.22268675
3540.0,3.29259,45.1688,12.6032,0.22418324
3550.0,3.35328,59.774,12.6032,0.22064063
3560.0,3.42538,92.2968,12.6032,0.21045467
3570.0,3.50537,73.2012,12.6032,0.22389975
3580.0,3.578,51.4251,12.6032,0.23986488
3590.0,3.66899,42.8604,12.6032,0.25099326
3600.0,3.74862,40.9859,12.6032,0.25757212
3610.0,3.83654,52.1075,12.6032,0.25663874
3620.0,3.9528,50.6403,12.6032,0.26525473
3630.0,4.05909,54.1316,12.6032,0.27012135
3640.0,4.15992,73.4709,12.6032,0.26520259
3650.0,4.2537,123.134,12.6032,0.24647358
3660.0,4.37553,73.6652,12.6032,0.27871154
3670.0,4.50097,50.3975,12.6032,0.30183949
3680.0,4.62135,38.2277,12.6032,0.3190475
3690.0,4.75306,59.9891,12.6032,0.31165046
3700.0,4.88191,68.1065,12.6032,0.31435321
3710.0,5.01465,74.4889,12.6032,0.31845705
3720.0,5.15363,52.7001,12.6032,0.34326143
3730.0,5.28782,66.0759,12.6032,0.34170267
3740.0,5.43297,68.9512,12.6032,0.34880384
3750.0,5.58009,50.872,12.6032,0.37288955
3760.0,5.72195,61.995,12.6032,0.37273723
3770.0,5.86466,51.3503,12.6032,0.39122282
3780.0,6.00737,73.981,12.6032,0.38114352
3790.0,6.15655,60.5251,12.6032,0.40198381
3800.0,6.30565,73.0728,12.6032,0.40059041
3810.0,6.45224,68.6307,12.6032,0.41365863
3820.0,6.60137,81.123,12.6032,0.41222088
3830.0,6.74878,89.9774,12.6032,0.41393417
