wave,obj,sky,noise,s2n
3150.0,5.43185,0.0,12.6032,0.41560428
3160.0,5.43185,0.0,12.6032,0.41560429
3170.0,5.43185,25.697,12.6032,0.3864403
3180.0,5.43185,36.6663,12.6032,0.37573285
3190.0,5.43185,32.695,12.6032,0.37950579
3200.0,5.43185,38.711,12.6032,0.37383361
3210.0,5.58362,41.674,12.6032,0.38136636
3220.0,5.73963,58.0292,12.6032,0.37719389
3230.0,5.49434,52.3421,12.6032,0.36598068
3240.0,5.36243,25.3584,12.6032,0.38190969
3250.0,5.35478,18.6498,12.6032,0.38831347
3260.0,5.45055,42.1477,12.6032,0.37196524
3270.0,5.64016,28.7805,12.6032,0.39783276
3280.0,5.86033,51.7557,12.6032,0.39057165
3290.0,6.15558,25.323,12.6032,0.437559
3300.0,6.4751,49.6826,12.6032,0.43303126
3310.0,6.84028,31.9893,12.6032,0.47712473
3320.0,7.193,41.8238,12.6032,0.48927822
3330.0,7.49672,29.3166,12.6032,0.5256388
3340.0,7.8676,26.981,12.6032,0.55445952
3350.0,8.20019,48.3528,12.6032,0.54798185
3360.0,8.53524,26.1453,12.6032,0.60181284
3370.0,8.90967,54.2688,12.6032,0.58646568
3380.0,9.16997,48.1167,12.6032,0.61179953
3390.0,9.44629,47.8425,12.6032,0.63024808
3400.0,9.70452,48.3006,12.6032,0.64641966
3410.0,9.98442,31.0235,12.6032,0.69284005
3420.0,10.2333,45.9685,12.6032,0.68453428
3430.0,10.4699,48.7346,12.6032,0.69552558
3440.0,10.6476,43.5132,12.6032,0.71568104
3450.0,10.9304,29.2662,12.6032,0.76010445
3460.0,11.0555,55.1173,12.6032,0.72298051
3470.0,11.3142,39.2815,12.6032,0.76699604
3480.0,11.4984,57.5981,12.6032,0.74712871
3490.0,11.7205,58.3209,12.6032,0.75999825
3500.0,11.904,31.261,12.6032,0.82177085
3510.0,12.164,49.932,12.6032,0.80287092
3520.0,12.3911,40.431,12.6032,0.8356484
3530.0,12.6351,40.4638,12.6032,0.85156081
3540.0,12.8688,45.1688,12.6032,0.85737348
3550.0,13.106,59.774,12.6032,0.84470312
3560.0,13.3878,92.2968,12.6032,0.80749771
3570.0,13.7004,73.2012,12.6032,0.85743951
3580.0,13.9842,51.4251,12.6032,0.91630603
3590.0,14.3399,42.8604,12.6032,0.9573688
3600.0,14.6511,40.9859,12.6032,0.98174535
3610.0,14.9947,52.1075,12.6032,0.97890637
3620.0,15.4491,50.6403,12.6032,1.0108853
3630.0,15.8645,54.1316,12.6032,1.0291819
3640.0,16.2586,73.4709,12.6032,1.0119366
3650.0,16.6252,123.134,12.6032,0.94391358
3660.0,17.1013,73.6652,12.6032,1.0622378
3670.0,17.5916,50.3975,12.6032,1.146446
3680.0,18.0621,38.2277,12.6032,1.2088463
3690.0,18.5769,59.9891,12.6032,1.1833968
3700.0,19.0805,68.1065,12.6032,1.1939756
3710.0,19.5993,74.4889,12.6032,1.2095926
3720.0,20.1425,52.7001,12.6032,1.299106
3730.0,20.6669,66.0759,12.6032,1.2945881
3740.0,21.2342,68.9512,12.6032,1.3209277
3750.0,21.8092,50.872,12.6032,1.4072984
3760.0,22.3637,61.995,12.6032,1.4079413
3770.0,22.9214,51.3503,12.6032,1.4741329
3780.0,23.4792,73.981,12.6032,1.4398875
3790.0,24.0623,60.5251,12.6032,1.5143754
3800.0,24.645,73.0728,12.6032,1.5107557
3810.0,25.218,68.6307,12.6032,1.5577829
3820.0,25.8008,81.123,12.6032,1.5540037
3830.0,26.3769,89.9774,12.6032,1.5612073
3840.0,26.926,76.3003,12.6032,1.6333572
3850.0,27.5035,70.4107,12.6032,1.6857061
3860.0,28.0376,67.3796,12.6032,1.7269671
3870.0,28.6164,77.5024,12.6032,1.7265776
3880.0,29.1472,47.9381,12.6032,1.8642535
3890.0,29.6598,77.6267,12.6032,1.7857239
3900.0,30.1722,83.6917,12.6032,1.7945045
3910.0,30.7024,221.017,12.6032,1.4871647
3920.0,31.2014,120.505,12.6032,1.738633
3930.0,31.6843,83.0482,12.6032,1.8816403
3940.0,32.159,104.373,12.6032,1.8377468
3950.0,32.6406,121.827,12.6032,1.8109294
3960.0,33.0596,103.791,12.6032,1.8883069
3970.0,33.5252,74.0277,12.6032,2.0180171
3980.0,33.9612,112.308,12.6032,1.9096103
3990.0,34.3695,111.932,12.6032,1.932519
4000.0,34.7432,152.483,12.6032,1.8339467
4010.0,35.1182,146.75,12.6032,1.8683581
4020.0,35.4956,128.225,12.6032,1.9411007
4030.0,35.8851,164.515,12.6032,1.8591437
4040.0,36.3016,165.486,12.6032,1.8771288
4050.0,36.604,1180.2,12.6032,0.96769052
4060.0,36.9927,174.611,12.6032,1.8873218
4070.0,37.3831,174.423,12.6032,1.9067611
4080.0,37.6838,469.601,12.6032,1.4325039
4090.0,38.0093,210.776,12.6032,1.84839
4100.0,38.3099,138.528,12.6032,2.0538283
4110.0,38.6173,142.439,12.6032,2.0574009
4120.0,38.9315,124.6,12.6032,2.1300702
4130.0,39.2326,153.183,12.6032,2.0560296
4140.0,39.5546,157.88,12.6032,2.0582202
4150.0,39.8033,146.422,12.6032,2.1047142
4160.0,40.1076,154.077,12.6032,2.0966884
4170.0,40.4103,205.863,12.6032,1.9714862
4180.0,40.7077,166.639,12.6032,2.0893629
4190.0,40.9742,147.141,12.6032,2.160841
4200.0,41.2722,148.946,12.6032,2.1699936
4210.0,41.5859,173.712,12.6032,2.1116362
4220.0,41.8598,151.508,12.6032,2.1910503
4230.0,42.1685,169.287,12.6032,2.1524139
4240.0,42.4905,238.71,12.6032,1.9888796
4250.0,42.7961,338.42,12.6032,1.8075841
4260.0,43.0779,202.394,12.6032,2.103999
4270.0,43.4079,151.253,12.6032,2.2681009
4280.0,43.6957,173.62,12.6032,2.2130288
4290.0,44.0536,170.098,12.6032,2.2406865
4300.0,44.3127,179.056,12.6032,2.226425
4310.0,44.6809,217.604,12.6032,2.1382662
4320.0,45.0086,208.271,12.6032,2.1774895
4330.0,45.3186,207.884,12.6032,2.1927261
4340.0,45.6223,211.844,12.6032,2.1960688
4350.0,45.9506,336.331,12.6032,1.9391274
4360.0,46.3145,4060.91,12.6032,0.69507093
4370.0,46.5936,299.06,12.6032,2.0366929
4380.0,46.9437,312.491,12.6032,2.02446
4390.0,47.3046,232.167,12.6032,2.2190805
4400.0,47.5984,203.666,12.6032,2.3087494
4410.0,47.9233,258.399,12.6032,2.1820422
4420.0,48.2715,278.548,12.6032,2.1508607
4430.0,48.5997,251.125,12.6032,2.2288327
4440.0,48.9111,234.336,12.6032,2.2847466
4450.0,49.2251,214.301,12.6032,2.3527607
4460.0,49.5472,229.417,12.6032,2.3258709
4470.0,49.8452,223.387,12.6032,2.3554325
4480.0,50.1797,211.482,12.6032,2.4038304
4490.0,50.4458,249.835,12.6032,2.3122754
4500.0,50.7497,264.951,12.6032,2.2879655
4510.0,51.0428,283.962,12.6032,2.2555939
4520.0,51.292,234.021,12.6032,2.3906153
4530.0,51.5408,226.487,12.6032,2.4222791
4540.0,51.823,245.964,12.6032,2.3820522
4550.0,52.0626,244.655,12.6032,2.3959068
4560.0,52.287,245.541,12.6032,2.4033171
4570.0,52.5294,222.509,12.6032,2.4773847
4580.0,52.7241,224.562,12.6032,2.4801422
4590.0,52.8984,202.848,12.6032,2.5525021
4600.0,53.088,222.453,12.6032,2.5023374
4610.0,53.2657,214.076,12.6032,2.5348845
4620.0,53.3847,198.673,12.6032,2.5876213
4630.0,53.5853,215.969,12.6032,2.543506
4640.0,53.6936,210.07,12.6032,2.5661521
4650.0,53.8263,206.018,12.6032,2.5845797
4660.0,53.9488,274.306,12.6032,2.4008266
4670.0,54.042,372.823,12.6032,2.1923929
4680.0,54.1324,336.637,12.6032,2.2673053
4690.0,54.2128,258.18,12.6032,2.4530525
4700.0,54.2882,249.122,12.6032,2.4803347
4710.0,54.3616,292.712,12.6032,2.3736205
4720.0,54.4763,259.398,12.6032,2.4611201
4730.0,54.4787,329.444,12.6032,2.2962457
4740.0,54.5048,434.968,12.6032,2.10135
4750.0,54.567,294.486,12.6032,2.3779393
4760.0,54.6068,240.594,12.6032,2.5174837
4770.0,54.6663,188.396,12.6032,2.6795546
4780.0,54.6781,245.696,12.6032,2.5064736
4790.0,54.7255,186.051,12.6032,2.6901694
4800.0,54.7117,192.616,12.6032,2.6675945
4810.0,54.7396,211.815,12.6032,2.6076288
4820.0,54.77,225.448,12.6032,2.567958
4830.0,54.8516,272.822,12.6032,2.4425567
4840.0,54.8985,272.03,12.6032,2.4465343
4850.0,54.9282,280.554,12.6032,2.4264927
4860.0,55.001,239.687,12.6032,2.5371422
4870.0,55.0308,270.805,12.6032,2.4552164
4880.0,55.1002,275.302,12.6032,2.4467707
4890.0,55.1556,237.105,12.6032,2.5511605
4900.0,55.2315,261.605,12.6032,2.4874993
4910.0,55.3159,276.226,12.6032,2.453502
4920.0,55.3797,287.215,12.6032,2.4289936
4930.0,55.471,238.19,12.6032,2.5617918
4940.0,55.5319,264.839,12.6032,2.4917769
4950.0,55.6182,236.431,12.6032,2.5732171
4960.0,55.728,270.661,12.6032,2.4849679
4970.0,55.8022,337.296,12.6032,2.3324289
4980.0,55.9349,630.5,12.6032,1.8879284
4990.0,55.98,732.827,12.6032,1.7842274
5000.0,56.0462,350.871,12.6032,2.3137478
5010.0,56.0678,243.875,12.6032,2.5715468
5020.0,56.1072,222.306,12.6032,2.6362649
5030.0,56.126,191.441,12.6032,2.7359341
5040.0,56.1053,189.492,12.6032,2.7416084
5050.0,56.0617,192.372,12.6032,2.729864
5060.0,55.9701,186.233,12.6032,2.7465993
5070.0,55.8911,281.444,12.6032,2.4644924
5080.0,55.684,256.465,12.6032,2.5204314
5090.0,55.4879,742.351,12.6032,1.7601367
5100.0,55.2231,295.8,12.6032,2.4019187
5110.0,54.8739,202.332,12.6032,2.6434011
5120.0,54.4645,236.439,12.6032,2.5229335
5130.0,54.0194,168.186,12.6032,2.7196607
5140.0,53.4239,195.019,12.6032,2.6010516
5150.0,52.8522,209.842,12.6032,2.5290546
5160.0,52.1373,325.255,12.6032,2.2107571
5170.0,51.3555,165.823,12.6032,2.6025033
5180.0,50.4881,166.462,12.6032,2.5592063
5190.0,49.4979,153.958,12.6032,2.5554299
5200.0,48.4159,183.584,12.6032,2.405954
5210.0,47.2762,157.273,12.6032,2.4367361
5220.0,46.0545,164.91,12.6032,2.3528293
5230.0,44.7057,149.622,12.6032,2.3371887
5240.0,43.3003,148.009,12.6032,2.2733225
5250.0,41.6013,131.973,12.6032,2.2416975
5260.0,39.9004,161.785,12.6032,2.0639252
5270.0,38.1922,116.306,12.6032,2.1195759
5280.0,36.4803,122.848,12.6032,2.0088565
5290.0,34.7671,134.195,12.6032,1.8858516
5300.0,33.0526,110.498,12.6032,1.8667846
5310.0,31.3368,109.745,12.6032,1.7769754
5320.0,29.6197,105.475,12.6032,1.6965004
5330.0,27.9013,107.453,12.6032,1.5971833
5340.0,26.1815,103.16,12.6032,1.5141706
5350.0,24.4605,119.602,12.6032,1.3795582
5360.0,22.7381,152.435,12.6032,1.2209277
5370.0,21.0144,80.9685,12.6032,1.2772303
5380.0,19.2894,101.696,12.6032,1.1316185
5390.0,17.5631,75.3652,12.6032,1.0862566
5400.0,15.8355,78.9378,12.6032,0.97569469
5410.0,14.1066,75.285,12.6032,0.87844047
5420.0,12.3763,96.504,12.6032,0.74195716
5430.0,10.6447,80.4935,12.6032,0.66035941
5440.0,8.91183,67.2628,12.6032,0.57013272
5450.0,7.17761,61.387,12.6032,0.46674745
5460.0,5.44207,72.9172,12.6032,0.34644567
5470.0,3.70521,50.0401,12.6032,0.24912995
5480.0,1.96702,14.1122,12.6032,0.14578643
5490.0,0.227516,1.96976,12.6032,0.017570791
5500.0,44.6571,263.129,12.6032,2.0298403
5510.0,45.4182,246.419,12.6032,2.1008556
5520.0,46.0714,335.76,12.6032,1.9450467
5530.0,46.7599,303.174,12.6032,2.0353264
5540.0,47.3788,226.622,12.6032,2.23663
5550.0,48.0128,252.437,12.6032,2.2001172
5560.0,48.5979,235.72,12.6032,2.2673285
5570.0,49.1831,252.004,12.6032,2.2520415
5580.0,49.7384,6925.98,12.6032,0.57716641
5590.0,50.271,273.647,12.6032,2.2468888
5600.0,50.7987,249.761,12.6032,2.3277774
5610.0,51.3099,270.781,12.6032,2.2977887
5620.0,51.8075,243.779,12.6032,2.3871227
5630.0,52.3181,261.329,12.6032,2.3639746
5640.0,52.7736,260.047,12.6032,2.386698
5650.0,53.2378,304.778,12.6032,2.2996114
5660.0,53.6642,328.286,12.6032,2.2659854
5670.0,54.1081,485.386,12.6032,2.0096934
5680.0,54.5557,715.796,12.6032,1.756001
5690.0,54.962,2360.59,12.6032,1.0620421
5700.0,55.3664,985.456,12.6032,1.5680008
5710.0,55.7804,523.709,12.6032,2.0148331
5720.0,56.1624,505.671,12.6032,2.0534297
5730.0,56.5651,407.761,12.6032,2.2246416
5740.0,56.9636,365.914,12.6032,2.3190838
5750.0,57.3221,357.919,12.6032,2.349239
5760.0,57.6774,404.991,12.6032,2.2715043
5770.0,58.0393,909.836,12.6032,1.6962541
5780.0,58.3707,543.899,12.6032,2.0766524
5790.0,58.754,752.686,12.6032,1.8507283
5800.0,59.0848,714.701,12.6032,1.8984507
5810.0,59.4408,599.002,12.6032,2.0405946
5820.0,59.7411,625.32,12.6032,2.0182216
5830.0,60.0535,703.839,12.6032,1.939961
5840.0,60.3816,796.952,12.6032,1.8585073
5850.0,60.6945,941.863,12.6032,1.7471926
5860.0,60.9839,1081.72,12.6032,1.6581427
5870.0,61.2785,1348.63,12.6032,1.5174031
5880.0,61.5249,1125.46,12.6032,1.6450648
5890.0,61.8156,5242.89,12.6032,0.81976807
5900.0,62.08,15958.2,12.6032,0.47834437
5910.0,62.3022,1200.22,12.6032,1.6209174
5920.0,62.5333,1394.31,12.6032,1.5258031
5930.0,62.7657,1418.41,12.6032,1.5200596
5940.0,62.9814,1389.43,12.6032,1.5388629
5950.0,63.1819,1228.91,12.6032,1.6269559
5960.0,63.3629,1178.9,12.6032,1.6604351
5970.0,63.5229,1079.82,12.6032,1.726822
5980.0,63.6906,1060.51,12.6032,1.7442721
5990.0,63.8659,972.486,12.6032,1.8123525
6000.0,63.9853,923.687,12.6032,1.8539743
6010.0,64.1414,855.907,12.6032,1.9159952
6020.0,64.2641,762.459,12.6032,2.0087227
6030.0,64.3666,763.789,12.6032,2.0104645
6040.0,64.4567,716.434,12.6032,2.0634264
6050.0,64.5437,666.532,12.6032,2.1234203
6060.0,64.5932,630.768,12.6032,2.1691528
6070.0,64.6815,649.306,12.6032,2.1487503
6080.0,64.7012,615.795,12.6032,2.1919975
6090.0,64.7575,597.672,12.6032,2.2179839
6100.0,64.7902,654.187,12.6032,2.1462243
6110.0,64.8007,809.495,12.6032,1.9782132
6120.0,64.8092,1128.62,12.6032,1.7288207
6130.0,64.7961,689.626,12.6032,2.1042341
6140.0,64.7886,650.191,12.6032,2.1510882
6150.0,64.767,706.363,12.6032,2.0842546
6160.0,64.7165,931.077,12.6032,1.8685622
6170.0,64.6921,675.355,12.6032,2.1176318
6180.0,64.6327,514.009,12.6032,2.3364857
6190.0,64.6034,508.356,12.6032,2.3445091
